Nome: AIMORES
Codigo Estacao: A534
Latitude: -19.53277777
Longitude: -41.09083333
Altitude: 301
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;12;null;25,9;
2020-02-29;10;215,8;25,9;
2020-03-31;6;null;25,1;
2020-04-30;3;null;22,7;
2020-05-31;2;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;5;null;26,3;
2021-01-31;8;60,6;25,9;
2021-02-28;15;271,6;25;
2021-03-31;11;93,4;25,6;
2021-04-30;10;41;23,9;
2021-05-31;4;10,4;23,3;
2021-06-30;5;24,6;21,6;
2021-07-31;2;,4;21,1;
2021-08-31;3;2;21,9;
2021-09-30;2;1,4;24,4;
2021-10-31;13;166,8;23,8;
2021-11-30;15;259,6;23,2;
2021-12-31;19;247,6;23,9;
2022-01-31;7;190,6;26,1;
2022-02-28;20;204,2;25,3;
2022-03-31;5;5,6;26,3;
2022-04-30;5;33,2;25,4;
2022-05-31;null;null;22,9;
2022-06-30;2;null;21,6;
2022-07-31;null;null;21,9;
2022-08-31;null;null;null;
2022-09-30;3;null;null;
2022-10-31;5;null;24,8;
2022-11-30;15;null;23,2;
2022-12-31;19;237,6;24;
2023-01-31;17;184,2;25,1;
2023-02-28;8;12;26,7;
2023-03-31;5;null;26,3;
2023-04-30;7;null;24,9;
2023-05-31;10;10,2;22,5;
2023-06-30;2;1,2;22,1;
2023-07-31;6;22,2;21,7;
2023-08-31;11;98,6;22,9;
2023-09-30;7;22,2;24;
2023-10-31;5;23,4;25,5;
2023-11-30;4;65;27;
2023-12-31;11;73;27,1;
2024-01-31;19;362,2;26,2;
2024-02-29;13;149,2;26,1;
2024-03-31;7;54,6;27,2;
2024-04-30;3;2,2;25,7;
2024-05-31;2;7,8;25,3;
2024-06-30;3;3;23,3;
2024-07-31;0;0;23,3;
2024-08-31;4;7,6;23;
2024-09-30;1;,4;24,9;
2024-10-31;null;null;null;

