Nome: DORES DO INDAIA
Codigo Estacao: A536
Latitude: -19.48194443
Longitude: -45.59388888
Altitude: 721.09
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;20;278,6;24,5;
2020-02-29;21;515,2;23,3;
2020-03-31;14;157,8;23,1;
2020-04-30;16;54,4;22,4;
2020-05-31;10;84,2;19,2;
2020-06-30;4;3;19,8;
2020-07-31;0;0;20,5;
2020-08-31;2;10;20,3;
2020-09-30;3;14,6;24,4;
2020-10-31;17;254,6;24,6;
2020-11-30;15;141,6;23,5;
2020-12-31;21;264,6;23,9;
2021-01-31;13;124,6;24,3;
2021-02-28;18;257;23,2;
2021-03-31;6;93,6;24;
2021-04-30;9;24,4;21,9;
2021-05-31;0;0;21,5;
2021-06-30;2;6,6;20;
2021-07-31;0;0;18,4;
2021-08-31;1;,4;21,2;
2021-09-30;null;null;25,8;
2021-10-31;null;null;null;
2021-11-30;9;null;22,7;
2021-12-31;19;329,8;23;
2022-01-31;20;704,6;23,5;
2022-02-28;24;562,4;23;
2022-03-31;3;78,4;24,7;
2022-04-30;5;16;23,7;
2022-05-31;4;5;19,7;
2022-06-30;1;,4;19,5;
2022-07-31;0;0;19,9;
2022-08-31;1;,2;20,9;
2022-09-30;3;null;23,2;
2022-10-31;13;92,8;24;
2022-11-30;21;177,6;21,7;
2022-12-31;24;358,2;22,7;
2023-01-31;26;485;23;
2023-02-28;14;113,6;24,1;
2023-03-31;7;35,6;24,4;
2023-04-30;14;75;22,5;
2023-05-31;2;3,6;20,3;
2023-06-30;4;8,4;19,2;
2023-07-31;1;null;null;
2023-08-31;4;null;null;
2023-09-30;6;48,4;25,3;
2023-10-31;10;183,6;25,7;
2023-11-30;2;null;null;
2023-12-31;9;null;25,8;
2024-01-31;20;307;24,4;
2024-02-29;18;146,6;24,3;
2024-03-31;19;303,2;24,7;
2024-04-30;6;40,4;23,9;
2024-05-31;1;,2;22,8;
2024-06-30;0;0;20,7;
2024-07-31;0;0;20,7;
2024-08-31;0;0;21,7;
2024-09-30;0;0;25,8;
2024-10-31;null;null;null;

