Nome: DIAMANTINA
Codigo Estacao: A537
Latitude: -18.231052
Longitude: -43.648269
Altitude: 1359.25
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;22;581,8;20,7;
2020-02-29;17;179,6;20,6;
2020-03-31;22;347,2;18,9;
2020-04-30;10;114,2;18,4;
2020-05-31;10;20,8;16,3;
2020-06-30;6;7;16,3;
2020-07-31;7;3,2;16;
2020-08-31;5;11;15,4;
2020-09-30;2;11;19,3;
2020-10-31;17;208,4;20,1;
2020-11-30;17;205,6;18,7;
2020-12-31;18;208,2;20,2;
2021-01-31;16;154,4;20,1;
2021-02-28;23;432;19,3;
2021-03-31;11;44,8;19,9;
2021-04-30;8;69,2;18,5;
2021-05-31;4;1;17,5;
2021-06-30;6;24,2;16,2;
2021-07-31;0;0;15;
2021-08-31;2;2,6;15,7;
2021-09-30;2;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;19;null;18,7;
2022-01-31;17;257,4;19,9;
2022-02-28;22;295,2;19,4;
2022-03-31;3;14,6;20,1;
2022-04-30;5;24,6;19,6;
2022-05-31;5;23,6;16,6;
2022-06-30;5;1,2;16,2;
2022-07-31;0;0;15,7;
2022-08-31;1;1,6;16,5;
2022-09-30;5;24,4;18,2;
2022-10-31;11;47;19,6;
2022-11-30;20;242,8;18,3;
2022-12-31;23;375,8;18,8;
2023-01-31;25;332;19,4;
2023-02-28;8;null;20,8;
2023-03-31;2;null;null;
2023-04-30;6;29,8;19,1;
2023-05-31;3;17;17,2;
2023-06-30;2;12,8;15,7;
2023-07-31;4;7;16,2;
2023-08-31;8;55,8;18,1;
2023-09-30;5;24;19,6;
2023-10-31;10;120;21,1;
2023-11-30;5;56,8;22,7;
2023-12-31;15;110,8;21,7;
2024-01-31;26;315,8;20,9;
2024-02-29;18;298,8;20,3;
2024-03-31;17;141;21,4;
2024-04-30;12;31;19,7;
2024-05-31;5;1,6;19,2;
2024-06-30;5;2;17,1;
2024-07-31;3;1,4;16,5;
2024-08-31;2;1,4;17,7;
2024-09-30;0;0;20,3;
2024-10-31;1;null;null;

