Nome: MANTENA
Codigo Estacao: A540
Latitude: -18.78062
Longitude: -40.986505
Altitude: 254.91
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;15;242,6;26,1;
2020-02-29;9;122,2;26,6;
2020-03-31;17;184,2;24,2;
2020-04-30;12;39,4;23,6;
2020-05-31;7;56,6;21,8;
2020-06-30;5;24,8;21,4;
2020-07-31;5;null;21,2;
2020-08-31;11;17,8;21,4;
2020-09-30;5;15;24,4;
2020-10-31;10;106,8;24,8;
2020-11-30;20;114,4;23,9;
2020-12-31;8;82,4;26,2;
2021-01-31;11;48;26,2;
2021-02-28;17;193,2;25,1;
2021-03-31;11;35,6;25,2;
2021-04-30;5;3,6;24;
2021-05-31;1;,2;23,1;
2021-06-30;5;8,6;21,4;
2021-07-31;4;4,8;20,8;
2021-08-31;6;6,4;21,7;
2021-09-30;6;25,8;24,3;
2021-10-31;14;141,4;24,1;
2021-11-30;19;173,4;23,4;
2021-12-31;26;341;24;
2022-01-31;8;105;26,1;
2022-02-28;16;236,2;25,4;
2022-03-31;10;28,4;25,9;
2022-04-30;4;61,4;25,1;
2022-05-31;8;29;22,1;
2022-06-30;3;3,8;20,6;
2022-07-31;11;12;21;
2022-08-31;2;3,4;21,5;
2022-09-30;5;4,2;22,7;
2022-10-31;12;39,2;25,2;
2022-11-30;19;140,4;23,6;
2022-12-31;24;282,8;23,9;
2023-01-31;21;218,8;25,2;
2023-02-28;6;5;26,8;
2023-03-31;6;null;26,3;
2023-04-30;9;null;24,1;
2023-05-31;9;20;22,6;
2023-06-30;5;8,4;21,4;
2023-07-31;8;58,4;20,9;
2023-08-31;15;55,6;22,6;
2023-09-30;11;35,4;23,8;
2023-10-31;11;36,4;25,6;
2023-11-30;6;52,6;27,1;
2023-12-31;9;100,4;27,4;
2024-01-31;20;233;26,5;
2024-02-29;17;136,6;26,2;
2024-03-31;6;11,2;27,7;
2024-04-30;9;17,2;25,9;
2024-05-31;4;27,8;25;
2024-06-30;7;10,8;22,6;
2024-07-31;1;,8;22,7;
2024-08-31;5;43,4;22,5;
2024-09-30;2;1,4;24,5;
2024-10-31;1;null;null;

