Nome: CAPELINHA
Codigo Estacao: A541
Latitude: -17.70555555
Longitude: -42.38916666
Altitude: 932.06
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;16;470,8;22,5;
2020-02-29;19;159,2;22,3;
2020-03-31;26;189;20,5;
2020-04-30;21;62,8;19,9;
2020-05-31;19;92;17,9;
2020-06-30;26;15,8;17,2;
2020-07-31;23;18,6;17;
2020-08-31;18;21,6;16,8;
2020-09-30;4;2,4;20,3;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;4;null;null;
2021-01-31;14;132,8;21,6;
2021-02-28;19;274,2;21,1;
2021-03-31;9;null;21,2;
2021-04-30;null;null;null;
2021-05-31;null;null;19,4;
2021-06-30;null;null;17,2;
2021-07-31;null;null;16,3;
2021-08-31;null;null;17,1;
2021-09-30;null;null;20,8;
2021-10-31;null;null;21,3;
2021-11-30;null;null;20,3;
2021-12-31;14;null;20,7;
2022-01-31;7;null;21,6;
2022-02-28;null;null;21,2;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;8;null;16,9;
2022-07-31;12;5,8;17,3;
2022-08-31;6;null;18,3;
2022-09-30;2;2;19,7;
2022-10-31;10;37,6;21,5;
2022-11-30;12;98,2;20,2;
2022-12-31;14;131;20,5;
2023-01-31;22;317,8;21,1;
2023-02-28;9;15,8;22,2;
2023-03-31;2;null;22;
2023-04-30;12;107,2;20,6;
2023-05-31;20;24,2;18,3;
2023-06-30;22;7,8;17,1;
2023-07-31;19;29,4;17,1;
2023-08-31;16;13,8;19;
2023-09-30;6;null;20;
2023-10-31;null;null;null;
2023-11-30;2;null;null;
2023-12-31;10;127,8;23,2;
2024-01-31;19;383;22,4;
2024-02-29;22;162,8;21,6;
2024-03-31;21;142,8;22,7;
2024-04-30;19;56;20,9;
2024-05-31;14;4,2;19,8;
2024-06-30;5;1,6;17,9;
2024-07-31;18;4,2;17,4;
2024-08-31;10;4,8;18,4;
2024-09-30;2;,4;20,8;
2024-10-31;null;null;null;

