Nome: UNAI
Codigo Estacao: A542
Latitude: -16.55416666
Longitude: -46.88194443
Altitude: 640.85
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;19;368,6;25;
2020-02-29;19;168,2;24,5;
2020-03-31;17;307;23,7;
2020-04-30;16;145,2;23,3;
2020-05-31;7;8;20,5;
2020-06-30;0;0;20,3;
2020-07-31;0;0;20,6;
2020-08-31;0;0;21,8;
2020-09-30;1;1,4;25,3;
2020-10-31;1;,2;26,4;
2020-11-30;0;0;24,3;
2020-12-31;9;168,6;25;
2021-01-31;8;null;24,9;
2021-02-28;22;282,4;23,8;
2021-03-31;11;75,8;23,9;
2021-04-30;11;78,2;22,9;
2021-05-31;1;,8;21,8;
2021-06-30;2;3,4;21,1;
2021-07-31;0;0;20;
2021-08-31;0;0;22,7;
2021-09-30;3;4,6;27,2;
2021-10-31;15;80,2;26,1;
2021-11-30;21;234,6;23,9;
2021-12-31;20;null;23,8;
2022-01-31;17;228,8;24;
2022-02-28;17;null;23,8;
2022-03-31;6;44,6;24,6;
2022-04-30;0;0;24,7;
2022-05-31;3;44,2;21;
2022-06-30;0;0;20,7;
2022-07-31;0;0;20,8;
2022-08-31;0;0;23;
2022-09-30;5;26,4;25,3;
2022-10-31;10;null;26;
2022-11-30;14;null;23;
2022-12-31;20;null;23,5;
2023-01-31;19;null;23,7;
2023-02-28;2;null;25,6;
2023-03-31;13;null;24,5;
2023-04-30;21;132,2;23,8;
2023-05-31;2;10,8;21,7;
2023-06-30;1;null;null;
2023-07-31;null;null;null;
2023-08-31;3;null;null;
2023-09-30;1;,2;26,9;
2023-10-31;5;null;27,5;
2023-11-30;4;null;27,6;
2023-12-31;8;null;27,4;
2024-01-31;13;null;25,3;
2024-02-29;8;null;null;
2024-03-31;16;243,8;25,2;
2024-04-30;6;44,4;24,6;
2024-05-31;0;0;23;
2024-06-30;0;0;21,4;
2024-07-31;0;0;21;
2024-08-31;0;0;22,9;
2024-09-30;null;null;26,1;
2024-10-31;null;null;null;

