Nome: BURITIS
Codigo Estacao: A544
Latitude: -15.52416666
Longitude: -46.43555555
Altitude: 894
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;17;122,6;23,2;
2020-02-29;19;69,4;22,6;
2020-03-31;20;41;22,2;
2020-04-30;17;10,2;22,2;
2020-05-31;null;null;20,2;
2020-06-30;null;0;20;
2020-07-31;0;0;19,8;
2020-08-31;0;0;21,1;
2020-09-30;3;,6;24,4;
2020-10-31;2;,4;24,7;
2020-11-30;0;0;23;
2020-12-31;0;0;23,3;
2021-01-31;null;null;22,9;
2021-02-28;null;null;21,8;
2021-03-31;null;null;23;
2021-04-30;null;null;21,9;
2021-05-31;null;0;20,9;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;20,5;
2022-08-31;0;0;22,3;
2022-09-30;null;null;24,4;
2022-10-31;3;null;25;
2022-11-30;23;484,4;21,8;
2022-12-31;30;314,6;21,9;
2023-01-31;23;183;22;
2023-02-28;7;25,6;23,6;
2023-03-31;12;182,8;22,8;
2023-04-30;9;97,4;22,8;
2023-05-31;1;,2;21,6;
2023-06-30;0;0;20,8;
2023-07-31;0;0;21,3;
2023-08-31;4;19;23;
2023-09-30;4;9,2;25,9;
2023-10-31;8;62,2;26,5;
2023-11-30;8;50,8;26,6;
2023-12-31;11;191,8;25,5;
2024-01-31;21;276,8;23,2;
2024-02-29;15;342,2;22,7;
2024-03-31;16;282,8;23,8;
2024-04-30;5;62,2;23,4;
2024-05-31;0;0;22;
2024-06-30;0;0;20,4;
2024-07-31;0;0;20,4;
2024-08-31;0;0;21,9;
2024-09-30;0;0;25,1;
2024-10-31;null;null;null;

