Nome: CHAPADA GAUCHA
Codigo Estacao: A548
Latitude: -15.30027777
Longitude: -45.61749999
Altitude: 873.2
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;18;233;24,1;
2020-02-29;19;198,2;23,4;
2020-03-31;21;371,6;22,4;
2020-04-30;15;89,2;22,5;
2020-05-31;8;71,8;20,6;
2020-06-30;1;,2;20,5;
2020-07-31;0;0;20,5;
2020-08-31;0;0;21,4;
2020-09-30;0;0;24,8;
2020-10-31;8;52,4;25,6;
2020-11-30;12;null;23,3;
2020-12-31;14;152;24,3;
2021-01-31;9;null;24,1;
2021-02-28;22;260,8;22,5;
2021-03-31;7;76,6;23,3;
2021-04-30;11;106,6;22,6;
2021-05-31;0;0;21,7;
2021-06-30;1;7,4;20,9;
2021-07-31;0;0;20,3;
2021-08-31;0;0;21,8;
2021-09-30;0;0;26,3;
2021-10-31;12;112,2;25,1;
2021-11-30;21;174,6;22,7;
2021-12-31;29;280,4;22,1;
2022-01-31;23;5,8;22,9;
2022-02-28;8;1,6;22,4;
2022-03-31;3;6,4;24,2;
2022-04-30;4;14,4;23,9;
2022-05-31;1;3,6;21,3;
2022-06-30;0;0;20,7;
2022-07-31;0;0;20,7;
2022-08-31;0;0;22,4;
2022-09-30;5;18,4;24,4;
2022-10-31;5;null;25,3;
2022-11-30;13;null;22,2;
2022-12-31;20;null;22,4;
2023-01-31;13;null;23;
2023-02-28;6;null;25,1;
2023-03-31;4;null;24,2;
2023-04-30;9;97,4;23,6;
2023-05-31;1;,4;22,2;
2023-06-30;0;0;21,3;
2023-07-31;0;0;21,7;
2023-08-31;4;3;23,5;
2023-09-30;3;6;26;
2023-10-31;8;null;27,2;
2023-11-30;5;null;27,3;
2023-12-31;5;null;26;
2024-01-31;17;null;24;
2024-02-29;8;null;23,8;
2024-03-31;12;194,6;25,1;
2024-04-30;9;161,8;23,8;
2024-05-31;0;0;23,8;
2024-06-30;0;0;22,2;
2024-07-31;1;,4;21,8;
2024-08-31;null;null;22,6;
2024-09-30;null;null;null;
2024-10-31;null;null;null;

