Nome: AGUAS VERMELHAS
Codigo Estacao: A549
Latitude: -15.75166666
Longitude: -41.45777777
Altitude: 754.07
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;15;130,4;23,7;
2020-02-29;7;58;24;
2020-03-31;18;198,6;22,3;
2020-04-30;14;104,4;21,5;
2020-05-31;11;38,2;19,7;
2020-06-30;9;8,6;18,1;
2020-07-31;7;null;17,5;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;8;null;23,1;
2020-11-30;20;226,4;21,3;
2020-12-31;2;40,8;22,7;
2021-01-31;7;48,4;23,1;
2021-02-28;14;110,4;22,6;
2021-03-31;3;3,2;22;
2021-04-30;7;30,8;21,4;
2021-05-31;1;,6;18,9;
2021-06-30;3;1,2;18,2;
2021-07-31;0;0;17,5;
2021-08-31;9;8;18,2;
2021-09-30;3;1,4;21,8;
2021-10-31;9;72,4;23,3;
2021-11-30;14;186,2;21,9;
2021-12-31;4;null;null;
2022-01-31;3;null;null;
2022-02-28;4;null;22,9;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;3;null;null;
2022-06-30;5;1;16,4;
2022-07-31;7;2,4;17,7;
2022-08-31;5;7;18,2;
2022-09-30;2;4;20,8;
2022-10-31;4;38,2;22,9;
2022-11-30;18;341,4;21,5;
2022-12-31;22;380;21,6;
2023-01-31;13;148,8;22,4;
2023-02-28;1;,4;22,7;
2023-03-31;0;0;22,4;
2023-04-30;8;52,4;21,9;
2023-05-31;6;1,6;19,7;
2023-06-30;3;,6;17,8;
2023-07-31;3;,6;17,9;
2023-08-31;4;25;19,5;
2023-09-30;5;3,2;21,4;
2023-10-31;6;null;23,3;
2023-11-30;null;null;25,1;
2023-12-31;null;null;24,8;
2024-01-31;null;null;23,6;
2024-02-29;null;null;22,9;
2024-03-31;null;null;24,1;
2024-04-30;null;null;22,5;
2024-05-31;null;null;20,1;
2024-06-30;null;null;18,6;
2024-07-31;null;null;17,6;
2024-08-31;8;42;18,7;
2024-09-30;1;,4;20,5;
2024-10-31;null;null;null;

