Nome: CARATINGA
Codigo Estacao: A554
Latitude: -19.73583333
Longitude: -42.13722221
Altitude: 609.25
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;18;395,2;26,6;
2020-02-29;16;184;26,1;
2020-03-31;16;null;24,9;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;3;3,6;24,3;
2020-10-31;9;null;25,2;
2020-11-30;null;null;null;
2020-12-31;5;null;null;
2021-01-31;4;109,8;26;
2021-02-28;17;375,6;25,2;
2021-03-31;9;113,6;25,4;
2021-04-30;16;58,6;23,2;
2021-05-31;13;25;21,8;
2021-06-30;16;19,2;20,1;
2021-07-31;1;,2;19,6;
2021-08-31;2;,4;21,2;
2021-09-30;3;1,6;24,7;
2021-10-31;15;179,8;24,5;
2021-11-30;16;296,4;24;
2021-12-31;19;217,8;24,5;
2022-01-31;16;288,2;26,1;
2022-02-28;25;336,2;25,3;
2022-03-31;4;3,8;25,7;
2022-04-30;9;29,8;24,6;
2022-05-31;6;3;21,5;
2022-06-30;9;1,8;19,9;
2022-07-31;5;1;21;
2022-08-31;2;1,4;21,4;
2022-09-30;3;79,2;23;
2022-10-31;11;75;25,2;
2022-11-30;21;353,2;23,7;
2022-12-31;21;261,8;24,5;
2023-01-31;25;354,4;25;
2023-02-28;10;44;26,2;
2023-03-31;3;null;26,4;
2023-04-30;6;null;24,3;
2023-05-31;16;43,4;21,4;
2023-06-30;12;3,4;20,3;
2023-07-31;8;14,8;20,7;
2023-08-31;8;null;21,8;
2023-09-30;4;null;23,7;
2023-10-31;5;null;26,4;
2023-11-30;6;null;26,8;
2023-12-31;12;115,6;27;
2024-01-31;21;376,8;26,3;
2024-02-29;21;187,8;25,9;
2024-03-31;13;97,8;26,9;
2024-04-30;9;39,8;25,3;
2024-05-31;14;36,8;24;
2024-06-30;6;1,2;21,8;
2024-07-31;4;3,4;21,4;
2024-08-31;2;2,8;22,4;
2024-09-30;0;0;25,1;
2024-10-31;null;null;null;

