Nome: CORONEL PACHECO
Codigo Estacao: A557
Latitude: -21.54666666
Longitude: -43.26111111
Altitude: 411.14
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;24;257,6;26,5;
2020-02-29;25;298,4;26,2;
2020-03-31;18;225,4;25,5;
2020-04-30;16;64,6;23,6;
2020-05-31;16;33,8;20,8;
2020-06-30;17;11;21,1;
2020-07-31;8;2,2;21,3;
2020-08-31;5;null;21,2;
2020-09-30;4;41,6;25;
2020-10-31;12;77;25,7;
2020-11-30;15;177,6;25,3;
2020-12-31;23;188,8;26,3;
2021-01-31;13;274,2;26,8;
2021-02-28;22;279,2;26;
2021-03-31;17;88;26,6;
2021-04-30;17;69,6;23,3;
2021-05-31;12;3,4;22;
2021-06-30;14;36,8;20,2;
2021-07-31;3;,6;18,4;
2021-08-31;5;48,2;21,3;
2021-09-30;6;38,6;24,9;
2021-10-31;22;183,4;24,1;
2021-11-30;13;190,8;24,7;
2021-12-31;21;241,8;25,2;
2022-01-31;20;257,6;26,8;
2022-02-28;18;229,8;26,1;
2022-03-31;10;25,6;26,8;
2022-04-30;20;49,6;24,8;
2022-05-31;18;19,2;21,1;
2022-06-30;19;4;20;
2022-07-31;13;2,6;20,3;
2022-08-31;7;6,2;21;
2022-09-30;9;71,8;22,3;
2022-10-31;13;113,6;25,2;
2022-11-30;17;197,8;24,3;
2022-12-31;23;375,6;25,1;
2023-01-31;23;361,6;26,1;
2023-02-28;16;241;27;
2023-03-31;10;70;26,8;
2023-04-30;10;93,6;24,3;
2023-05-31;7;11,4;21,7;
2023-06-30;11;10,6;20,1;
2023-07-31;5;11,6;20,5;
2023-08-31;11;64,4;22,3;
2023-09-30;5;12,6;24,8;
2023-10-31;20;194,4;26,2;
2023-11-30;8;92,8;27,8;
2023-12-31;14;131;27,6;
2024-01-31;22;297,6;27,1;
2024-02-29;21;247,6;27,3;
2024-03-31;18;161;27,5;
2024-04-30;8;13;25,7;
2024-05-31;9;18,8;24,3;
2024-06-30;12;2,6;21,3;
2024-07-31;3;4;21,3;
2024-08-31;6;25,8;21,4;
2024-09-30;4;18,6;24,9;
2024-10-31;null;null;null;

