Nome: POMPEU
Codigo Estacao: A560
Latitude: -19.23249999
Longitude: -44.96416666
Altitude: 705
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;null;null;null;
2020-02-29;null;null;null;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;11;null;23,8;
2021-11-30;14;359,6;23,4;
2021-12-31;21;461,2;23,2;
2022-01-31;19;615,2;23,8;
2022-02-28;23;299,4;23,2;
2022-03-31;1;4,6;24,4;
2022-04-30;5;19,6;23,3;
2022-05-31;4;37,6;18,8;
2022-06-30;0;0;18,1;
2022-07-31;0;0;19,3;
2022-08-31;0;0;20,8;
2022-09-30;5;26,8;23,1;
2022-10-31;12;33,2;25;
2022-11-30;14;null;22,7;
2022-12-31;11;98,2;23,1;
2023-01-31;null;null;23,4;
2023-02-28;10;null;24,5;
2023-03-31;6;18,4;24,4;
2023-04-30;11;48,2;22,7;
2023-05-31;0;0;20;
2023-06-30;3;8,2;18,6;
2023-07-31;null;0;19,9;
2023-08-31;5;25,8;21,7;
2023-09-30;1;null;null;
2023-10-31;null;null;null;
2023-11-30;6;null;26,9;
2023-12-31;16;132;26,1;
2024-01-31;22;361,2;24,7;
2024-02-29;17;83,4;24,6;
2024-03-31;17;148,2;25;
2024-04-30;6;28,6;23,8;
2024-05-31;0;0;22,3;
2024-06-30;0;0;20,2;
2024-07-31;0;0;20,4;
2024-08-31;0;0;21,9;
2024-09-30;1;3,2;25,9;
2024-10-31;null;null;null;

