Nome: DIVINOPOLIS
Codigo Estacao: A564
Latitude: -20.17333332
Longitude: -44.87499999
Altitude: 796
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;18;312,6;24,1;
2020-02-29;19;311,4;23,4;
2020-03-31;16;115,8;22,6;
2020-04-30;12;60,6;21,7;
2020-05-31;11;32;18,2;
2020-06-30;1;,2;18,7;
2020-07-31;1;,2;19,3;
2020-08-31;2;11,2;19,3;
2020-09-30;2;12,8;23,5;
2020-10-31;12;94,2;24,1;
2020-11-30;14;127,6;23,3;
2020-12-31;23;191,4;23,7;
2021-01-31;13;198,8;24,1;
2021-02-28;20;212;23;
2021-03-31;10;80,6;23,7;
2021-04-30;null;null;21,4;
2021-05-31;1;3,2;20,1;
2021-06-30;5;17,8;18,5;
2021-07-31;0;0;17;
2021-08-31;2;2,4;20,1;
2021-09-30;3;5;24,7;
2021-10-31;20;212,6;22,8;
2021-11-30;11;141,4;22,9;
2021-12-31;19;277,2;22,9;
2022-01-31;21;624,6;23,2;
2022-02-28;21;302,6;22,9;
2022-03-31;2;20,4;24,5;
2022-04-30;6;66,2;22,6;
2022-05-31;4;27,6;18,4;
2022-06-30;0;0;18,1;
2022-07-31;1;1,6;18,5;
2022-08-31;2;2,4;19,8;
2022-09-30;3;36,2;22;
2022-10-31;10;124,8;23,8;
2022-11-30;22;201,2;21,7;
2022-12-31;26;378,4;22,3;
2023-01-31;29;530,8;22,7;
2023-02-28;15;149;24,2;
2023-03-31;10;85;24;
2023-04-30;14;72;22;
2023-05-31;11;9;19,1;
2023-06-30;11;6,4;17,8;
2023-07-31;2;2;18,8;
2023-08-31;5;null;20,8;
2023-09-30;5;20,6;24,9;
2023-10-31;12;164,4;25,6;
2023-11-30;12;201,6;25,5;
2023-12-31;16;76,2;25,5;
2024-01-31;21;290,2;24,1;
2024-02-29;18;123,8;24;
2024-03-31;19;235,2;24,4;
2024-04-30;7;47;23,4;
2024-05-31;9;12,8;21,8;
2024-06-30;4;,8;19,2;
2024-07-31;0;0;19,4;
2024-08-31;0;0;20,6;
2024-09-30;2;,4;24,9;
2024-10-31;null;null;null;

