Nome: BAMBUI
Codigo Estacao: A565
Latitude: -20.0311111
Longitude: -46.00888888
Altitude: 697
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;26;318,8;24;
2020-02-29;25;452,8;23,1;
2020-03-31;13;65,2;22,8;
2020-04-30;13;87;21,5;
2020-05-31;12;42,8;17,2;
2020-06-30;2;,4;17,6;
2020-07-31;0;0;17,8;
2020-08-31;1;8,8;17,7;
2020-09-30;2;13;21,5;
2020-10-31;13;234,4;23,7;
2020-11-30;16;114,8;22,7;
2020-12-31;22;256,8;23,4;
2021-01-31;10;null;23,5;
2021-02-28;20;238,2;23;
2021-03-31;9;108,4;22,9;
2021-04-30;6;15,8;20,5;
2021-05-31;5;10,6;19,2;
2021-06-30;9;45,6;17,4;
2021-07-31;0;0;14,7;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;2;null;null;
2021-12-31;24;241,6;22,7;
2022-01-31;21;521,6;23;
2022-02-28;20;null;22,9;
2022-03-31;6;47,8;23,6;
2022-04-30;2;5,8;22,3;
2022-05-31;10;33,4;17,6;
2022-06-30;3;,6;16,8;
2022-07-31;0;0;16,5;
2022-08-31;2;8,8;18,4;
2022-09-30;6;58,4;21,2;
2022-10-31;12;136,4;22,7;
2022-11-30;17;null;21;
2022-12-31;21;355,2;22,7;
2023-01-31;21;288,6;22,9;
2023-02-28;15;null;23,7;
2023-03-31;8;90;23,6;
2023-04-30;12;168,4;21,6;
2023-05-31;5;1;18,1;
2023-06-30;5;6;16,4;
2023-07-31;5;10,8;17,4;
2023-08-31;8;10,8;19,4;
2023-09-30;5;16,2;23,8;
2023-10-31;11;null;24,6;
2023-11-30;5;null;24,8;
2023-12-31;7;null;25,4;
2024-01-31;15;null;23,9;
2024-02-29;10;null;24,1;
2024-03-31;19;288,4;24,2;
2024-04-30;4;15,2;22,7;
2024-05-31;10;10,4;20,5;
2024-06-30;7;1,4;17,6;
2024-07-31;1;,2;17,4;
2024-08-31;null;null;17,5;
2024-09-30;null;null;null;
2024-10-31;null;null;null;

