Nome: ARACUAI
Codigo Estacao: A566
Latitude: -16.84888888
Longitude: -42.03527777
Altitude: 308
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;16;314,2;26,9;
2020-02-29;10;42,6;27;
2020-03-31;21;186,4;24,7;
2020-04-30;5;13,8;23,9;
2020-05-31;4;null;22;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;1;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;2;null;null;
2021-01-31;4;14;27,6;
2021-02-28;16;211;25,6;
2021-03-31;8;22,4;24,9;
2021-04-30;6;47,6;24,3;
2021-05-31;3;,6;22,5;
2021-06-30;4;2,2;21,5;
2021-07-31;0;0;21;
2021-08-31;2;4,2;22,6;
2021-09-30;2;2,4;26,2;
2021-10-31;11;79,4;27,2;
2021-11-30;20;204,4;24,4;
2021-12-31;20;362,8;24,6;
2022-01-31;13;85;25;
2022-02-28;15;86,4;25,6;
2022-03-31;7;39,4;25,5;
2022-04-30;4;2,6;25;
2022-05-31;2;7,4;22,1;
2022-06-30;0;0;19,6;
2022-07-31;1;,2;22;
2022-08-31;2;,6;22,5;
2022-09-30;1;4,4;24,5;
2022-10-31;5;8,8;27,5;
2022-11-30;13;null;24,7;
2022-12-31;21;294;24,3;
2023-01-31;9;105,4;25,4;
2023-02-28;3;3;26;
2023-03-31;3;null;26,3;
2023-04-30;7;139,8;25,4;
2023-05-31;4;4,4;22,1;
2023-06-30;2;,4;20,6;
2023-07-31;3;6;21,3;
2023-08-31;2;null;24,1;
2023-09-30;1;null;25,3;
2023-10-31;5;null;null;
2023-11-30;1;null;null;
2023-12-31;5;null;null;
2024-01-31;1;null;null;
2024-02-29;null;null;null;
2024-03-31;4;null;null;
2024-04-30;10;31;25;
2024-05-31;5;1,6;23,6;
2024-06-30;6;6,8;21,8;
2024-07-31;2;,8;21,6;
2024-08-31;2;,8;23;
2024-09-30;null;0;25,9;
2024-10-31;null;null;null;

