Nome: SETE LAGOAS
Codigo Estacao: A569
Latitude: -19.45527777
Longitude: -44.17333332
Altitude: 719
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;22;369;24,2;
2020-02-29;18;214,4;23,5;
2020-03-31;11;277;22,7;
2020-04-30;5;null;22,3;
2020-05-31;1;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;2;10;18,9;
2020-09-30;3;4,4;22;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;8;null;23,8;
2021-01-31;9;248,6;23,7;
2021-02-28;18;595;22,6;
2021-03-31;7;42,6;23;
2021-04-30;3;8,6;21,2;
2021-05-31;1;,2;19,9;
2021-06-30;3;2,2;18,8;
2021-07-31;1;null;null;
2021-08-31;null;null;null;
2021-09-30;4;13,6;23,9;
2021-10-31;13;201,4;23,5;
2021-11-30;16;264,6;22,3;
2021-12-31;18;333,4;22,5;
2022-01-31;15;296,6;23,3;
2022-02-28;22;351,2;22,6;
2022-03-31;0;0;23,7;
2022-04-30;5;28,2;22,8;
2022-05-31;10;35,2;18,3;
2022-06-30;7;1,4;17,7;
2022-07-31;6;1,2;17,5;
2022-08-31;0;0;19,6;
2022-09-30;5;39;21,9;
2022-10-31;12;67,4;23,8;
2022-11-30;18;189,4;21,7;
2022-12-31;23;378,8;22,3;
2023-01-31;24;476;22,5;
2023-02-28;14;129,6;23,8;
2023-03-31;2;37,2;23,7;
2023-04-30;11;77,2;22,2;
2023-05-31;7;15,8;19,1;
2023-06-30;12;5,6;17,4;
2023-07-31;4;3,4;18,4;
2023-08-31;7;41,8;20,2;
2023-09-30;5;35,4;23,8;
2023-10-31;8;null;25,1;
2023-11-30;1;null;null;
2023-12-31;9;null;24,7;
2024-01-31;19;291,2;24,2;
2024-02-29;14;161,2;23,7;
2024-03-31;13;196,2;24,4;
2024-04-30;4;80,8;23;
2024-05-31;11;2,2;21,1;
2024-06-30;10;2;18,5;
2024-07-31;5;1;18,2;
2024-08-31;0;0;19,9;
2024-09-30;0;0;24;
2024-10-31;null;null;null;

