Nome: PARACATU
Codigo Estacao: A571
Latitude: -17.24444444
Longitude: -46.88166666
Altitude: 705
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;17;380,8;25;
2020-02-29;24;314;24,4;
2020-03-31;18;223;23,8;
2020-04-30;15;55,2;23,4;
2020-05-31;7;72;20,7;
2020-06-30;0;0;20,9;
2020-07-31;0;0;21,2;
2020-08-31;0;0;21,8;
2020-09-30;null;null;25;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;13;null;24,6;
2021-01-31;10;43,4;25,3;
2021-02-28;22;278,6;23,7;
2021-03-31;8;191,2;24,3;
2021-04-30;6;26,4;23,5;
2021-05-31;0;0;22,5;
2021-06-30;0;0;21,6;
2021-07-31;0;0;20,3;
2021-08-31;0;0;22,7;
2021-09-30;1;,8;27,3;
2021-10-31;18;146,4;25,6;
2021-11-30;19;237;23,8;
2021-12-31;null;null;23,7;
2022-01-31;null;null;24,2;
2022-02-28;null;null;23,6;
2022-03-31;5;null;25;
2022-04-30;1;23;24,8;
2022-05-31;2;29,6;20,9;
2022-06-30;0;0;20,9;
2022-07-31;1;3,2;20,9;
2022-08-31;0;0;22,8;
2022-09-30;4;45,4;24,9;
2022-10-31;null;null;25,4;
2022-11-30;null;null;23,3;
2022-12-31;null;null;23,2;
2023-01-31;null;null;23,4;
2023-02-28;null;null;25,4;
2023-03-31;1;null;25,1;
2023-04-30;13;131,4;23,8;
2023-05-31;1;,4;22,3;
2023-06-30;3;13;20,9;
2023-07-31;null;0;21,8;
2023-08-31;3;null;null;
2023-09-30;5;10,4;27;
2023-10-31;8;27,4;27,7;
2023-11-30;8;102,6;27,7;
2023-12-31;16;265,2;26,9;
2024-01-31;20;302,6;25,2;
2024-02-29;20;195,6;24,6;
2024-03-31;15;116;25,4;
2024-04-30;10;51,8;24,8;
2024-05-31;0;0;23,6;
2024-06-30;0;0;21,8;
2024-07-31;0;0;21,5;
2024-08-31;0;0;23,1;
2024-09-30;1;,4;26,8;
2024-10-31;null;null;null;

