Nome: RIO DE JANEIRO-MARAMBAIA
Codigo Estacao: A602
Latitude: -23.05027777
Longitude: -43.59555555
Altitude: 12
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;13;64,4;26;
2020-02-29;17;187,4;25,2;
2020-03-31;12;178,2;24,1;
2020-04-30;7;27,2;22,9;
2020-05-31;13;87,2;21,4;
2020-06-30;6;15,4;22,7;
2020-07-31;7;75,4;21,9;
2020-08-31;14;45,8;21;
2020-09-30;11;141,8;23,9;
2020-10-31;11;85,2;23,5;
2020-11-30;15;null;null;
2020-12-31;20;155,2;25,3;
2021-01-31;7;42,4;26,7;
2021-02-28;18;143,8;25,3;
2021-03-31;7;48,2;26;
2021-04-30;18;110,8;23,3;
2021-05-31;15;60,4;22;
2021-06-30;14;28,2;21,2;
2021-07-31;10;25,8;19,4;
2021-08-31;11;86;21,3;
2021-09-30;9;22,8;22,2;
2021-10-31;18;135;21,1;
2021-11-30;17;119,4;21,6;
2021-12-31;16;177;23,9;
2022-01-31;15;92;25,8;
2022-02-28;10;82,8;25,4;
2022-03-31;7;44,2;26,7;
2022-04-30;13;379,2;24,3;
2022-05-31;12;22,6;22,1;
2022-06-30;18;65,2;20,5;
2022-07-31;10;36,8;22,1;
2022-08-31;17;66,8;20,8;
2022-09-30;16;137;20,5;
2022-10-31;15;29,4;23,3;
2022-11-30;18;189,4;22,5;
2022-12-31;17;157,6;24,1;
2023-01-31;14;188;25,2;
2023-02-28;14;160,6;26,5;
2023-03-31;10;80,2;25,9;
2023-04-30;16;124;23,7;
2023-05-31;8;null;22;
2023-06-30;11;17;21,5;
2023-07-31;11;34;21;
2023-08-31;8;41,2;22;
2023-09-30;null;null;24,3;
2023-10-31;null;null;23,7;
2023-11-30;13;87,2;25,5;
2023-12-31;6;23,6;25,5;
2024-01-31;17;223,6;26;
2024-02-29;7;63,4;26,6;
2024-03-31;4;3,6;25,7;
2024-04-30;3;7,4;24,2;
2024-05-31;11;38,4;24,4;
2024-06-30;4;4,4;23,1;
2024-07-31;2;18,2;20,6;
2024-08-31;8;62,6;21,5;
2024-09-30;9;6,4;23,5;
2024-10-31;2;null;null;

