Nome: DUQUE DE CAXIAS - XEREM
Codigo Estacao: A603
Latitude: -22.58972221
Longitude: -43.28222221
Altitude: 22
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;18;403;25,7;
2020-02-29;24;389,2;25,2;
2020-03-31;13;243,8;24;
2020-04-30;14;52,2;22,4;
2020-05-31;18;101,2;20,2;
2020-06-30;10;28;21,1;
2020-07-31;10;55,4;20,6;
2020-08-31;10;111;20,5;
2020-09-30;6;108,4;23,8;
2020-10-31;17;124,8;23,8;
2020-11-30;20;307,6;23,2;
2020-12-31;23;559,4;25,2;
2021-01-31;7;142;27,1;
2021-02-28;20;134,2;25,1;
2021-03-31;15;198,8;25,7;
2021-04-30;18;109,4;22,3;
2021-05-31;12;68;21,1;
2021-06-30;15;30,2;19,9;
2021-07-31;7;30,4;17,9;
2021-08-31;11;45,4;20,4;
2021-09-30;14;88,2;22,6;
2021-10-31;23;189,2;22;
2021-11-30;17;193,4;22,4;
2021-12-31;24;247;24;
2022-01-31;20;339,4;26,4;
2022-02-28;19;281,6;25,2;
2022-03-31;10;145,8;26,2;
2022-04-30;15;256,6;23,4;
2022-05-31;13;39,2;20,5;
2022-06-30;21;76,6;19,1;
2022-07-31;12;19,6;20,2;
2022-08-31;10;69;20,5;
2022-09-30;19;228;19,9;
2022-10-31;22;65,8;23,7;
2022-11-30;23;275,8;22,4;
2022-12-31;21;371,4;24,2;
2023-01-31;23;469,2;25,2;
2023-02-28;20;342,8;26,5;
2023-03-31;13;211;25,7;
2023-04-30;16;245,8;22,9;
2023-05-31;10;37;21;
2023-06-30;18;25,8;19,8;
2023-07-31;15;75,4;19,7;
2023-08-31;14;104,4;21,5;
2023-09-30;10;72,2;23,9;
2023-10-31;25;354,8;24;
2023-11-30;16;225,4;25,6;
2023-12-31;17;156,6;26,1;
2024-01-31;24;488,4;25,9;
2024-02-29;19;129,6;26,5;
2024-03-31;22;334,4;25,8;
2024-04-30;2;null;null;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;6;null;null;
2024-08-31;17;102,6;20,4;
2024-09-30;11;18,6;23,9;
2024-10-31;3;null;null;

