Nome: CAMBUCI
Codigo Estacao: A604
Latitude: -21.58749999
Longitude: -41.95833333
Altitude: 46
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;11;234,8;26,5;
2020-02-29;16;249,8;26,2;
2020-03-31;13;77,8;25;
2020-04-30;10;95,4;23,1;
2020-05-31;11;88,8;20,3;
2020-06-30;4;1,2;20,4;
2020-07-31;3;2,8;20,8;
2020-08-31;4;17,6;21,1;
2020-09-30;4;23,8;24,4;
2020-10-31;16;84,8;24,9;
2020-11-30;17;187,2;24,7;
2020-12-31;15;136,2;26,3;
2021-01-31;3;null;27,3;
2021-02-28;10;null;26;
2021-03-31;7;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;18,7;
2021-07-31;5;2,6;18,7;
2021-08-31;7;30;21,2;
2021-09-30;7;22,8;24,2;
2021-10-31;24;192,4;23,5;
2021-11-30;9;228,4;23,9;
2021-12-31;19;195,4;25;
2022-01-31;13;177,8;26,7;
2022-02-28;18;437,8;25,9;
2022-03-31;2;4,6;27;
2022-04-30;7;70,4;24,7;
2022-05-31;11;23;21,4;
2022-06-30;8;7,4;19,3;
2022-07-31;null;0;21;
2022-08-31;3;1,6;21,3;
2022-09-30;7;96,2;22,3;
2022-10-31;11;80,8;25;
2022-11-30;17;287,4;23,5;
2022-12-31;20;192,2;25,1;
2023-01-31;16;332,6;26,1;
2023-02-28;6;61,8;27,5;
2023-03-31;4;7,2;27,2;
2023-04-30;10;106,4;24,6;
2023-05-31;6;8,8;21,8;
2023-06-30;3;6,8;19,9;
2023-07-31;11;50,4;20,3;
2023-08-31;6;73,6;22;
2023-09-30;5;32,6;24,3;
2023-10-31;15;164,4;25,6;
2023-11-30;7;85,4;27,3;
2023-12-31;16;268,2;27,1;
2024-01-31;19;161,2;27;
2024-02-29;2;null;null;
2024-03-31;null;null;null;
2024-04-30;null;null;null;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;2;null;21,3;
2024-08-31;7;25,4;21,9;
2024-09-30;null;null;null;
2024-10-31;null;null;null;

