Nome: ARRAIAL DO CABO
Codigo Estacao: A606
Latitude: -22.97527777
Longitude: -42.02138888
Altitude: 5
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;11;118,2;25,7;
2020-02-29;13;214,2;25,1;
2020-03-31;11;209,4;25,1;
2020-04-30;9;38,2;24,1;
2020-05-31;10;null;22,6;
2020-06-30;12;7;22,9;
2020-07-31;6;21;22,3;
2020-08-31;11;63,6;21,8;
2020-09-30;7;141,6;23,3;
2020-10-31;16;68,6;23,5;
2020-11-30;14;99,4;23,7;
2020-12-31;11;108,8;24,5;
2021-01-31;5;21,8;24,7;
2021-02-28;14;73,6;24,7;
2021-03-31;8;102,6;25,4;
2021-04-30;14;155,2;24,4;
2021-05-31;10;76,8;23,1;
2021-06-30;14;83,2;22,2;
2021-07-31;8;26,8;20,9;
2021-08-31;11;51,2;21,4;
2021-09-30;8;27,8;22,1;
2021-10-31;15;88,6;21,6;
2021-11-30;11;82,4;22,5;
2021-12-31;14;137,6;24,1;
2022-01-31;10;null;24,2;
2022-02-28;2;null;null;
2022-03-31;6;28,4;25;
2022-04-30;11;197;24,8;
2022-05-31;13;12,8;23,2;
2022-06-30;8;5,4;21,7;
2022-07-31;1;,6;22,5;
2022-08-31;14;35,2;21,3;
2022-09-30;12;59,2;20,9;
2022-10-31;7;11,2;23,5;
2022-11-30;17;281,4;23,3;
2022-12-31;12;86,4;23,7;
2023-01-31;23;44,6;24,5;
2023-02-28;6;69,6;25,5;
2023-03-31;5;4,8;26;
2023-04-30;2;null;24,6;
2023-05-31;11;null;23,1;
2023-06-30;10;27,2;22,5;
2023-07-31;13;32,8;21,7;
2023-08-31;2;3;21,7;
2023-09-30;null;null;22,5;
2023-10-31;null;null;23,1;
2023-11-30;3;null;24,7;
2023-12-31;6;null;25,9;
2024-01-31;16;161,6;25,5;
2024-02-29;10;29,2;26,4;
2024-03-31;15;173,6;25,8;
2024-04-30;9;43;25;
2024-05-31;4;,8;24,2;
2024-06-30;3;null;24;
2024-07-31;5;9,8;22,2;
2024-08-31;6;78,6;22;
2024-09-30;2;3,8;23,5;
2024-10-31;2;null;null;

