Nome: CAMPOS DOS GOYTACAZES
Codigo Estacao: A607
Latitude: -21.71472222
Longitude: -41.34388888
Altitude: 17
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;11;167;26,2;
2020-02-29;12;135,2;26;
2020-03-31;16;148,6;24,8;
2020-04-30;13;79,2;23,5;
2020-05-31;11;75,4;21,6;
2020-06-30;13;10,2;21,9;
2020-07-31;13;28,8;21,4;
2020-08-31;10;32;21,3;
2020-09-30;9;64;23,7;
2020-10-31;15;152,6;23,9;
2020-11-30;19;195,4;24;
2020-12-31;14;202;25,7;
2021-01-31;3;43,8;26,5;
2021-02-28;13;189,6;25,5;
2021-03-31;10;110,8;26;
2021-04-30;15;55,4;23,6;
2021-05-31;8;14,8;22,6;
2021-06-30;13;110,6;21;
2021-07-31;10;4,6;19,8;
2021-08-31;13;133,6;21;
2021-09-30;6;49,6;23,1;
2021-10-31;24;244,8;22,3;
2021-11-30;19;125,2;23;
2021-12-31;19;105,8;24,7;
2022-01-31;12;117,2;26,2;
2022-02-28;14;197;25,6;
2022-03-31;4;22;26,5;
2022-04-30;10;59,4;24,9;
2022-05-31;12;51,4;22,3;
2022-06-30;12;15,6;20,7;
2022-07-31;10;2,6;21,8;
2022-08-31;6;8,4;21,3;
2022-09-30;8;62,6;21,4;
2022-10-31;7;60,8;24,5;
2022-11-30;18;330,6;23,3;
2022-12-31;22;304,6;24,5;
2023-01-31;20;221;25,8;
2023-02-28;7;30,2;27,1;
2023-03-31;7;13,4;26,8;
2023-04-30;17;136,8;24,4;
2023-05-31;14;30;22,1;
2023-06-30;9;4,8;21,6;
2023-07-31;16;38;20,8;
2023-08-31;14;146;22,1;
2023-09-30;6;28,2;23,5;
2023-10-31;17;61,6;24,2;
2023-11-30;7;21,2;26;
2023-12-31;12;67;26,7;
2024-01-31;2;null;null;
2024-02-29;null;null;null;
2024-03-31;18;283;26,6;
2024-04-30;7;15,4;25,3;
2024-05-31;8;2;24,8;
2024-06-30;11;58,2;22,9;
2024-07-31;8;19;22;
2024-08-31;12;26,6;21,7;
2024-09-30;2;,6;24,4;
2024-10-31;1;null;null;

