Nome: PICO DO COUTO
Codigo Estacao: A610
Latitude: -22.46472222
Longitude: -43.29138888
Altitude: 1777
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;16;null;17,6;
2020-02-29;21;null;16,2;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;26;112,2;16,6;
2021-01-31;10;2,2;16,9;
2021-02-28;19;null;15,9;
2021-03-31;13;null;16,7;
2021-04-30;17;null;12,8;
2021-05-31;13;null;12,9;
2021-06-30;15;null;11,6;
2021-07-31;9;null;9,7;
2021-08-31;14;null;12,3;
2021-09-30;null;null;null;
2021-10-31;3;null;null;
2021-11-30;17;266,2;13,9;
2021-12-31;30;333,8;14,3;
2022-01-31;28;416,2;16,5;
2022-02-28;27;247;15,9;
2022-03-31;18;183,4;16,7;
2022-04-30;22;172,4;14,5;
2022-05-31;18;43,4;11,5;
2022-06-30;16;69,8;12;
2022-07-31;9;22,6;12,2;
2022-08-31;21;173,6;10,8;
2022-09-30;17;null;12,3;
2022-10-31;3;null;null;
2022-11-30;5;null;null;
2022-12-31;26;363;14,5;
2023-01-31;27;414,2;15,7;
2023-02-28;24;249;17,2;
2023-03-31;24;231;16,3;
2023-04-30;26;233,8;13,9;
2023-05-31;21;63,8;12,1;
2023-06-30;14;37,4;12;
2023-07-31;19;69;11,3;
2023-08-31;15;75;13,6;
2023-09-30;9;47,6;15,8;
2023-10-31;25;215,2;16,2;
2023-11-30;16;191,6;17,5;
2023-12-31;24;172;16,9;
2024-01-31;27;495,8;16,9;
2024-02-29;24;245,6;17;
2024-03-31;23;441,6;17;
2024-04-30;14;21,2;15,8;
2024-05-31;18;32;15,3;
2024-06-30;5;3,6;13,6;
2024-07-31;8;30,8;12,9;
2024-08-31;10;75,8;13,3;
2024-09-30;6;21;16,4;
2024-10-31;3;null;null;

