Nome: VALENCA
Codigo Estacao: A611
Latitude: -22.35805555
Longitude: -43.69555555
Altitude: 370
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;14;null;24,6;
2020-02-29;null;null;null;
2020-03-31;null;null;null;
2020-04-30;3;null;null;
2020-05-31;18;25,2;19;
2020-06-30;9;7,8;19,8;
2020-07-31;3;6,2;19,6;
2020-08-31;5;null;19,5;
2020-09-30;5;55,6;23,5;
2020-10-31;8;30;23,5;
2020-11-30;19;177,6;22,5;
2020-12-31;22;262,8;24;
2021-01-31;11;75;25,6;
2021-02-28;20;195;23,8;
2021-03-31;14;95,4;24,3;
2021-04-30;9;24,6;21;
2021-05-31;5;42,2;19,7;
2021-06-30;10;10,4;18,5;
2021-07-31;9;7,6;16,3;
2021-08-31;5;61,2;19,5;
2021-09-30;7;29,6;22,1;
2021-10-31;20;173,6;21,2;
2021-11-30;14;197,8;21,4;
2021-12-31;24;328,2;22,6;
2022-01-31;19;332,6;24,6;
2022-02-28;21;334;23,9;
2022-03-31;7;133,8;24,9;
2022-04-30;8;90,6;22,2;
2022-05-31;8;6,4;19;
2022-06-30;9;7,2;17,9;
2022-07-31;7;12;18,9;
2022-08-31;7;7,8;19,1;
2022-09-30;10;130,8;19,2;
2022-10-31;16;73,2;22,6;
2022-11-30;20;257;21;
2022-12-31;18;317,6;22,7;
2023-01-31;22;311;23,7;
2023-02-28;16;255;24,8;
2023-03-31;11;114,4;24,4;
2023-04-30;14;126,6;21,8;
2023-05-31;8;5,8;19,4;
2023-06-30;null;null;18,2;
2023-07-31;11;22,2;18,7;
2023-08-31;11;44,2;20,3;
2023-09-30;4;41,6;23,2;
2023-10-31;18;144,8;23,3;
2023-11-30;13;130;24,7;
2023-12-31;14;130,2;25,2;
2024-01-31;22;297,4;24,5;
2024-02-29;16;186;24,9;
2024-03-31;19;107,2;24,7;
2024-04-30;8;3,4;23,3;
2024-05-31;9;28,6;22,3;
2024-06-30;12;2,4;19,7;
2024-07-31;11;24,8;19;
2024-08-31;7;40,8;19,3;
2024-09-30;2;7,8;23,6;
2024-10-31;3;null;null;

