Nome: VITORIA
Codigo Estacao: A612
Latitude: -20.27083332
Longitude: -40.30583333
Altitude: 9
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;11;250;26,6;
2020-02-29;10;null;26,3;
2020-03-31;14;null;25,7;
2020-04-30;4;null;25;
2020-05-31;1;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;2;null;null;
2020-09-30;5;null;23,7;
2020-10-31;6;null;null;
2020-11-30;4;null;null;
2020-12-31;7;null;26;
2021-01-31;3;null;null;
2021-02-28;8;null;26,2;
2021-03-31;7;null;26,1;
2021-04-30;11;null;24;
2021-05-31;2;null;null;
2021-06-30;9;null;21,2;
2021-07-31;2;null;20,8;
2021-08-31;14;75;21,6;
2021-09-30;7;null;23,7;
2021-10-31;6;null;null;
2021-11-30;18;287,2;23,4;
2021-12-31;18;116;24,9;
2022-01-31;11;75,6;26,6;
2022-02-28;14;97;26,2;
2022-03-31;6;51,8;26,7;
2022-04-30;6;15,6;25,7;
2022-05-31;5;null;null;
2022-06-30;6;18,6;21,5;
2022-07-31;10;17,8;21,7;
2022-08-31;6;12;22;
2022-09-30;11;54,4;22,3;
2022-10-31;16;89,8;24,6;
2022-11-30;19;343,6;23,7;
2022-12-31;26;327,2;24,9;
2023-01-31;20;181,6;26,2;
2023-02-28;7;25,4;27,5;
2023-03-31;13;119,4;26,9;
2023-04-30;20;136;25,3;
2023-05-31;18;64,6;22,9;
2023-06-30;11;11;22,2;
2023-07-31;13;121,4;21,8;
2023-08-31;12;193,8;23;
2023-09-30;10;12;24,1;
2023-10-31;14;41,2;25,4;
2023-11-30;8;27,8;26,6;
2023-12-31;17;173,2;27;
2024-01-31;18;159,4;27;
2024-02-29;18;234,2;26,8;
2024-03-31;2;null;null;
2024-04-30;null;null;null;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;null;null;null;
2024-09-30;4;null;24,7;
2024-10-31;4;null;null;

