Nome: LINHARES
Codigo Estacao: A614
Latitude: -19.35694444
Longitude: -40.0686111
Altitude: 40
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;15;227;26,3;
2020-02-29;13;113,6;26,8;
2020-03-31;17;84,8;25,2;
2020-04-30;10;22,2;24,6;
2020-05-31;9;46,6;22,9;
2020-06-30;11;36,4;22,7;
2020-07-31;11;75,8;21,9;
2020-08-31;15;53,2;21,6;
2020-09-30;5;31,8;23,7;
2020-10-31;16;155;24,4;
2020-11-30;18;75,8;24,6;
2020-12-31;6;36;26,6;
2021-01-31;15;42,4;26,4;
2021-02-28;17;175;25,8;
2021-03-31;10;170,6;26,4;
2021-04-30;8;25,6;24,8;
2021-05-31;6;7,8;23,6;
2021-06-30;11;48,2;22,1;
2021-07-31;4;1,4;21,2;
2021-08-31;16;37;21,6;
2021-09-30;8;43,6;23,7;
2021-10-31;14;241;23,8;
2021-11-30;16;209,4;23,8;
2021-12-31;20;188;24,8;
2022-01-31;11;164,8;26,5;
2022-02-28;17;275,2;26,1;
2022-03-31;16;37;26,4;
2022-04-30;6;33,2;25,8;
2022-05-31;10;38,4;23,3;
2022-06-30;10;13,6;21,9;
2022-07-31;17;26,6;21,8;
2022-08-31;8;8;22;
2022-09-30;8;6,2;22,4;
2022-10-31;17;108,2;24,6;
2022-11-30;19;419;23,5;
2022-12-31;22;390,8;24,7;
2023-01-31;25;314,8;25,8;
2023-02-28;14;81;26,8;
2023-03-31;15;55,4;26,5;
2023-04-30;17;68,6;25,4;
2023-05-31;12;23,6;23,3;
2023-06-30;10;17,4;22,3;
2023-07-31;14;81,2;21,8;
2023-08-31;14;103,8;22,7;
2023-09-30;10;54,8;23,7;
2023-10-31;11;74,2;24,9;
2023-11-30;9;10,6;26,1;
2023-12-31;10;105,8;26,8;
2024-01-31;14;120;26,7;
2024-02-29;10;184;27;
2024-03-31;10;154,2;27,6;
2024-04-30;9;58;26;
2024-05-31;5;38;25,4;
2024-06-30;8;11,6;23,4;
2024-07-31;5;3,4;23;
2024-08-31;8;52,6;22,6;
2024-09-30;4;20;24,2;
2024-10-31;2;null;null;

