Nome: SAO MATEUS
Codigo Estacao: A616
Latitude: -18.6761111
Longitude: -39.86416666
Altitude: 28.66
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;15;278,8;25,9;
2020-02-29;11;29,8;26,5;
2020-03-31;20;160,8;25,3;
2020-04-30;16;49,6;24,3;
2020-05-31;22;32,4;22,6;
2020-06-30;25;52,6;22,2;
2020-07-31;25;93,6;21,3;
2020-08-31;21;79,2;21,5;
2020-09-30;17;49,6;22,9;
2020-10-31;15;137;24,3;
2020-11-30;22;136,4;24,1;
2020-12-31;6;49,2;26;
2021-01-31;16;68,8;25,8;
2021-02-28;19;219,6;25,5;
2021-03-31;13;71;25,7;
2021-04-30;16;48;24,4;
2021-05-31;17;21,4;23,1;
2021-06-30;18;18,8;21,7;
2021-07-31;14;9;20,8;
2021-08-31;22;49;21,1;
2021-09-30;8;37,2;23,3;
2021-10-31;19;189;24;
2021-11-30;18;222,6;24;
2021-12-31;25;415,6;24,7;
2022-01-31;5;null;26,1;
2022-02-28;null;null;26;
2022-03-31;null;null;25,8;
2022-04-30;null;null;25,2;
2022-05-31;null;null;22,8;
2022-06-30;null;null;21,3;
2022-07-31;null;null;21,3;
2022-08-31;5;null;21,2;
2022-09-30;14;19,4;22;
2022-10-31;18;172,8;24,3;
2022-11-30;23;475,4;23,6;
2022-12-31;26;589,4;24,6;
2023-01-31;22;210,6;25,8;
2023-02-28;16;73,4;26,5;
2023-03-31;16;35,8;26,1;
2023-04-30;16;24,6;25,3;
2023-05-31;17;76,2;23,2;
2023-06-30;19;17,2;21,9;
2023-07-31;18;null;21,4;
2023-08-31;18;90,4;22,6;
2023-09-30;18;30;23,5;
2023-10-31;13;57,6;25,1;
2023-11-30;5;5;26,2;
2023-12-31;10;31,6;27,1;
2024-01-31;18;339,8;26,7;
2024-02-29;16;98,2;26,8;
2024-03-31;9;57,6;27,6;
2024-04-30;14;90;25,9;
2024-05-31;15;62,6;25,1;
2024-06-30;26;43;22,9;
2024-07-31;15;11,4;22,5;
2024-08-31;14;82,6;22,2;
2024-09-30;12;14,8;23,7;
2024-10-31;4;null;null;

