Nome: ALEGRE
Codigo Estacao: A617
Latitude: -20.75055555
Longitude: -41.48888888
Altitude: 138
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;17;323,6;26,1;
2020-02-29;1;null;null;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;24,5;
2020-10-31;null;null;24,4;
2020-11-30;null;null;24,3;
2020-12-31;14;308,2;26;
2021-01-31;8;67,8;26,5;
2021-02-28;19;358,2;25,5;
2021-03-31;10;134,6;25,6;
2021-04-30;17;82,4;23,2;
2021-05-31;11;28,2;22,2;
2021-06-30;13;42,6;20,8;
2021-07-31;5;null;19,8;
2021-08-31;13;35;21,2;
2021-09-30;5;null;24,2;
2021-10-31;21;175,6;23,1;
2021-11-30;15;233,2;23,2;
2021-12-31;19;304;24,5;
2022-01-31;8;162;26,2;
2022-02-28;20;402,6;25,4;
2022-03-31;7;9,6;26,3;
2022-04-30;11;61,2;24,7;
2022-05-31;7;11,6;21,9;
2022-06-30;12;12,8;20,1;
2022-07-31;2;,6;21,4;
2022-08-31;5;11,8;21,4;
2022-09-30;11;39,4;22;
2022-10-31;13;114,4;25,2;
2022-11-30;20;221;23,2;
2022-12-31;22;334,2;24,4;
2023-01-31;19;290,4;25,6;
2023-02-28;8;83,2;26,9;
2023-03-31;6;39,2;26,5;
2023-04-30;11;108,2;24,4;
2023-05-31;9;26,4;21,6;
2023-06-30;4;2,4;20,5;
2023-07-31;8;40,4;20,9;
2023-08-31;13;55,6;22,5;
2023-09-30;7;43,6;24,3;
2023-10-31;20;90,6;25,9;
2023-11-30;11;175,6;27;
2023-12-31;16;216,2;26,6;
2024-01-31;16;243,8;26,7;
2024-02-29;17;179,8;26,6;
2024-03-31;13;324,4;26,8;
2024-04-30;10;48;25,1;
2024-05-31;7;10;24,4;
2024-06-30;3;4,4;22,2;
2024-07-31;2;,4;22,2;
2024-08-31;8;23,2;22,1;
2024-09-30;2;1;25,2;
2024-10-31;1;null;null;

