Nome: TERESOPOLIS-PARQUE NACIONAL
Codigo Estacao: A618
Latitude: -22.4486111
Longitude: -42.98694444
Altitude: 981
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;26;369,6;20,2;
2020-02-29;24;590,8;20,4;
2020-03-31;23;299,2;18,5;
2020-04-30;15;110,2;17,1;
2020-05-31;12;108,8;15,6;
2020-06-30;8;63,8;16,6;
2020-07-31;8;74,4;16,1;
2020-08-31;11;195,8;15,6;
2020-09-30;10;139,4;19,2;
2020-10-31;17;275,2;18,9;
2020-11-30;22;423,4;18,1;
2020-12-31;27;506,2;20,2;
2021-01-31;13;368,8;21,6;
2021-02-28;24;315,4;19,8;
2021-03-31;13;132;20,5;
2021-04-30;21;198,4;16,9;
2021-05-31;13;82,6;16,3;
2021-06-30;12;84,4;14,8;
2021-07-31;7;26,8;13,2;
2021-08-31;14;110,4;15,6;
2021-09-30;15;121,4;18,1;
2021-10-31;25;294,6;17,4;
2021-11-30;21;307,2;17,2;
2021-12-31;28;486,4;18,6;
2022-01-31;25;379,8;21;
2022-02-28;23;484,2;19,7;
2022-03-31;12;256,6;21,1;
2022-04-30;9;null;null;
2022-05-31;1;null;null;
2022-06-30;15;159,8;14,6;
2022-07-31;6;33;16,2;
2022-08-31;13;229;15,3;
2022-09-30;17;306,4;15,4;
2022-10-31;18;120,2;19,1;
2022-11-30;20;522,8;17,2;
2022-12-31;28;525,6;18,9;
2023-01-31;25;425,2;20,3;
2023-02-28;20;273,6;21,5;
2023-03-31;19;171;20,6;
2023-04-30;19;349,6;18;
2023-05-31;13;109,4;16;
2023-06-30;9;48,2;15,3;
2023-07-31;15;148,8;15,2;
2023-08-31;13;160;16,7;
2023-09-30;7;146;19,2;
2023-10-31;22;371;19,8;
2023-11-30;19;363,2;20,7;
2023-12-31;20;253,6;20,8;
2024-01-31;24;416,2;20,7;
2024-02-29;22;284;21,1;
2024-03-31;27;607,8;20,5;
2024-04-30;7;58,2;19,3;
2024-05-31;9;61,6;19,1;
2024-06-30;7;55;17,2;
2024-07-31;11;64,2;15,8;
2024-08-31;5;85,2;16,3;
2024-09-30;7;53,8;19,5;
2024-10-31;3;null;null;

