Nome: CAMPOS DOS GOYTACAZES - SAO TOME
Codigo Estacao: A620
Latitude: -22.04166666
Longitude: -41.05166666
Altitude: 7
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;11;104,6;25,8;
2020-02-29;10;151,2;25,9;
2020-03-31;13;112,4;25,2;
2020-04-30;15;78,6;24,2;
2020-05-31;10;55;22,6;
2020-06-30;8;3,6;22,8;
2020-07-31;5;14;22,4;
2020-08-31;9;44,6;22;
2020-09-30;5;106,8;23,6;
2020-10-31;14;161;23,8;
2020-11-30;14;null;24,2;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;1;null;null;
2021-10-31;22;190,8;22,5;
2021-11-30;15;130;23,2;
2021-12-31;12;92,6;24,8;
2022-01-31;9;126,4;26;
2022-02-28;11;78;25,5;
2022-03-31;3;43,6;26,6;
2022-04-30;4;22,2;25,4;
2022-05-31;8;65,4;23,3;
2022-06-30;5;6,4;21,7;
2022-07-31;1;,2;22,6;
2022-08-31;6;6,6;21,6;
2022-09-30;8;53,4;21,5;
2022-10-31;6;20,4;24,2;
2022-11-30;17;193,8;23,3;
2022-12-31;17;126,6;24,6;
2023-01-31;12;105,2;25,7;
2023-02-28;5;16,6;26,8;
2023-03-31;3;3,6;26,6;
2023-04-30;14;202,2;24,9;
2023-05-31;12;39,4;23,2;
2023-06-30;4;7;22,8;
2023-07-31;12;50,6;21,7;
2023-08-31;11;111,4;22,5;
2023-09-30;5;13,8;23,3;
2023-10-31;14;38,8;23,8;
2023-11-30;6;4,6;25,1;
2023-12-31;14;55;26,1;
2024-01-31;15;96,4;26;
2024-02-29;12;31,4;26,7;
2024-03-31;11;271,8;26;
2024-04-30;7;10,2;25,5;
2024-05-31;2;null;26;
2024-06-30;null;null;null;
2024-07-31;2;null;null;
2024-08-31;2;null;22,6;
2024-09-30;2;1;24;
2024-10-31;2;null;null;

