Nome: PRESIDENTE KENNEDY
Codigo Estacao: A622
Latitude: -21.10083333
Longitude: -41.03944444
Altitude: 69.12
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;14;166,6;25,8;
2020-02-29;12;147,4;25,8;
2020-03-31;6;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;8;null;23,4;
2020-10-31;19;104,8;23,5;
2020-11-30;14;63,4;23,8;
2020-12-31;10;130,8;25,6;
2021-01-31;6;51;26,2;
2021-02-28;11;162,2;25,2;
2021-03-31;10;80,6;25,8;
2021-04-30;15;42,4;23,6;
2021-05-31;9;9,8;23;
2021-06-30;15;33,4;21,3;
2021-07-31;8;6;20,3;
2021-08-31;15;174,6;21,1;
2021-09-30;9;19;22,9;
2021-10-31;21;250,4;22,4;
2021-11-30;16;143,4;22,7;
2021-12-31;18;125,6;24,3;
2022-01-31;11;101,2;25,9;
2022-02-28;17;139,4;25,3;
2022-03-31;2;null;null;
2022-04-30;9;null;24,6;
2022-05-31;11;17,4;22,7;
2022-06-30;16;8,4;21,1;
2022-07-31;6;2,2;22;
2022-08-31;8;6,4;21,5;
2022-09-30;5;69,6;21,4;
2022-10-31;8;37,8;24,2;
2022-11-30;21;216;22,9;
2022-12-31;18;213;24,4;
2023-01-31;17;184,8;25,5;
2023-02-28;3;23,6;27;
2023-03-31;8;50,8;26,6;
2023-04-30;17;119;24,3;
2023-05-31;18;54,8;22,2;
2023-06-30;7;7,2;21,7;
2023-07-31;12;47,2;21;
2023-08-31;10;null;22;
2023-09-30;null;null;null;
2023-10-31;22;97;24;
2023-11-30;12;37,8;25,7;
2023-12-31;21;106,2;26,4;
2024-01-31;20;142,6;26,4;
2024-02-29;14;78,4;26,7;
2024-03-31;9;337,2;26,5;
2024-04-30;5;null;25,5;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;4;null;22,2;
2024-09-30;19;51,6;23,9;
2024-10-31;4;null;null;

