Nome: RIO CLARO
Codigo Estacao: A626
Latitude: -22.653579
Longitude: -44.040916
Altitude: 516
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;17;219,4;23,4;
2020-02-29;26;333,6;22,9;
2020-03-31;13;231,8;21,9;
2020-04-30;4;5,8;20,5;
2020-05-31;11;43;17,9;
2020-06-30;7;null;18,7;
2020-07-31;1;null;18,4;
2020-08-31;6;18,4;18,3;
2020-09-30;5;null;22,1;
2020-10-31;7;null;21,8;
2020-11-30;15;111,4;21,5;
2020-12-31;25;243,6;23,1;
2021-01-31;11;null;25;
2021-02-28;18;158,2;23;
2021-03-31;11;90,2;23,6;
2021-04-30;12;37,2;20,6;
2021-05-31;9;72,2;19,1;
2021-06-30;13;33,6;17,8;
2021-07-31;9;15,6;15,7;
2021-08-31;13;41,6;18,4;
2021-09-30;11;32,4;21;
2021-10-31;23;169,6;20,1;
2021-11-30;11;132,2;20,5;
2021-12-31;26;383,8;21,7;
2022-01-31;24;194,8;23,8;
2022-02-28;20;209,8;23,1;
2022-03-31;9;156;24,2;
2022-04-30;10;122,6;21,4;
2022-05-31;9;18,4;18,3;
2022-06-30;12;9,6;17;
2022-07-31;8;9,2;18,3;
2022-08-31;8;20,6;17,9;
2022-09-30;13;117,8;17,9;
2022-10-31;13;73,4;21,5;
2022-11-30;21;154,6;20;
2022-12-31;23;198,4;21,8;
2023-01-31;24;275,4;22,8;
2023-02-28;25;233,8;23,8;
2023-03-31;15;198,4;23,4;
2023-04-30;13;121,4;20,9;
2023-05-31;11;32;18,7;
2023-06-30;20;16,6;17,3;
2023-07-31;11;20,4;17,8;
2023-08-31;8;null;null;
2023-09-30;9;24,2;22,1;
2023-10-31;24;265,6;22;
2023-11-30;16;136,8;23,6;
2023-12-31;12;90,2;24;
2024-01-31;17;366,2;23,7;
2024-02-29;15;231,4;24,1;
2024-03-31;16;null;24,2;
2024-04-30;4;10,2;22,5;
2024-05-31;12;14,4;21,5;
2024-06-30;7;2,2;19;
2024-07-31;9;28;18,3;
2024-08-31;8;44,8;18,5;
2024-09-30;6;2,2;22,4;
2024-10-31;2;null;null;

