Nome: NITEROI
Codigo Estacao: A627
Latitude: -22.86749999
Longitude: -43.10194444
Altitude: 6
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;15;149,2;27,3;
2020-02-29;21;302,4;26,5;
2020-03-31;10;159,8;25,4;
2020-04-30;9;27,6;24,2;
2020-05-31;12;106,4;22;
2020-06-30;2;3,4;23;
2020-07-31;5;36,2;22,6;
2020-08-31;6;96,6;22,2;
2020-09-30;7;104,2;25,2;
2020-10-31;13;58,6;25,1;
2020-11-30;18;121,6;24,5;
2020-12-31;17;332,2;26,7;
2021-01-31;5;11,4;29,1;
2021-02-28;13;112,8;26,8;
2021-03-31;7;56;27,7;
2021-04-30;10;null;24,5;
2021-05-31;1;null;null;
2021-06-30;13;30;21,6;
2021-07-31;5;19,4;20,2;
2021-08-31;6;null;20,3;
2021-09-30;2;null;null;
2021-10-31;21;112,2;22,7;
2021-11-30;9;null;23,6;
2021-12-31;17;192,4;25,4;
2022-01-31;16;207;27,5;
2022-02-28;13;47,6;26,6;
2022-03-31;4;20,4;28,6;
2022-04-30;14;227,8;25,2;
2022-05-31;12;83,8;22,5;
2022-06-30;16;65,2;20,6;
2022-07-31;4;26,6;22,5;
2022-08-31;15;56,6;21,6;
2022-09-30;14;105,2;21,3;
2022-10-31;12;41,6;24,6;
2022-11-30;18;144,8;23,6;
2022-12-31;16;142,4;25,5;
2023-01-31;19;163;26,6;
2023-02-28;16;269,2;28,1;
2023-03-31;6;26;27,6;
2023-04-30;13;173,2;24,5;
2023-05-31;8;50;22,8;
2023-06-30;7;36,6;21,7;
2023-07-31;8;32,6;21,5;
2023-08-31;12;82,8;22,7;
2023-09-30;6;22,4;25,3;
2023-10-31;18;151,8;24,9;
2023-11-30;15;73,4;27;
2023-12-31;10;41,8;27,7;
2024-01-31;14;null;27,9;
2024-02-29;5;null;28,4;
2024-03-31;17;165;27,2;
2024-04-30;2;1,8;26,2;
2024-05-31;8;40;25,7;
2024-06-30;3;12;23,7;
2024-07-31;9;61;21,8;
2024-08-31;7;81;22,4;
2024-09-30;4;4,4;25,5;
2024-10-31;2;null;null;

