Nome: CARMO
Codigo Estacao: A629
Latitude: -21.9386111
Longitude: -42.60083333
Altitude: 293
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;21;219,2;25,1;
2020-02-29;17;193,8;24,9;
2020-03-31;16;234,2;23,7;
2020-04-30;11;32,6;22;
2020-05-31;12;73;18,9;
2020-06-30;3;,6;19,4;
2020-07-31;8;18,2;19,4;
2020-08-31;8;14,6;19,5;
2020-09-30;5;49,2;23,3;
2020-10-31;17;84,6;24,1;
2020-11-30;19;216,2;23,6;
2020-12-31;17;205,4;25,3;
2021-01-31;6;98;25,6;
2021-02-28;17;215,6;24,8;
2021-03-31;19;156,4;24,8;
2021-04-30;18;80;21,2;
2021-05-31;4;16,8;20,2;
2021-06-30;6;12;18,4;
2021-07-31;5;3;16,6;
2021-08-31;1;7,8;19,5;
2021-09-30;7;13,4;23,4;
2021-10-31;22;208,6;22,4;
2021-11-30;13;143,2;22,8;
2021-12-31;24;321,8;23,5;
2022-01-31;17;321;25,2;
2022-02-28;19;null;24,8;
2022-03-31;4;27;25,2;
2022-04-30;8;56;23;
2022-05-31;11;51,2;19,6;
2022-06-30;6;1,2;18,2;
2022-07-31;1;,2;19;
2022-08-31;4;2,2;19,3;
2022-09-30;9;96,2;20,8;
2022-10-31;16;71,8;23,6;
2022-11-30;21;269;22,6;
2022-12-31;23;236,4;23,8;
2023-01-31;19;364,8;24,6;
2023-02-28;13;185,4;25,8;
2023-03-31;6;57,2;25,2;
2023-04-30;10;66,6;22,9;
2023-05-31;0;0;20,1;
2023-06-30;0;null;18,4;
2023-07-31;7;null;18,6;
2023-08-31;13;75,4;20,7;
2023-09-30;6;64,4;23;
2023-10-31;18;235,2;24,5;
2023-11-30;13;74,8;26,1;
2023-12-31;14;203,8;26;
2024-01-31;18;194,6;25,7;
2024-02-29;21;134,4;25,7;
2024-03-31;14;null;26;
2024-04-30;6;4,6;23,9;
2024-05-31;4;null;23,5;
2024-06-30;null;null;null;
2024-07-31;2;null;19,4;
2024-08-31;8;50,2;19,6;
2024-09-30;3;4,2;23,3;
2024-10-31;null;null;null;

