Nome: SANTA MARIA MADALENA
Codigo Estacao: A630
Latitude: -21.95055555
Longitude: -42.01027777
Altitude: 586
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;18;225,6;22,9;
2020-02-29;22;183,2;22,5;
2020-03-31;19;240,6;21,2;
2020-04-30;14;64,4;19,7;
2020-05-31;17;165,4;17,2;
2020-06-30;19;32,8;17,7;
2020-07-31;12;11,2;17,2;
2020-08-31;14;25,6;17,3;
2020-09-30;7;67,8;20,6;
2020-10-31;16;110,4;21,2;
2020-11-30;18;208;20,7;
2020-12-31;18;195,4;22,9;
2021-01-31;7;72,2;23;
2021-02-28;17;211;22,3;
2021-03-31;16;96,8;22,4;
2021-04-30;19;100,8;19,4;
2021-05-31;9;null;17,8;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;2;null;null;
2021-10-31;24;190,4;19,5;
2021-11-30;14;108,6;19,7;
2021-12-31;21;226,6;21,2;
2022-01-31;15;271,6;22,9;
2022-02-28;19;310;22,3;
2022-03-31;9;36,4;22,5;
2022-04-30;14;117,8;20,8;
2022-05-31;14;73,6;17,9;
2022-06-30;15;21,8;16,3;
2022-07-31;14;2,8;17;
2022-08-31;10;15;17,3;
2022-09-30;12;83,6;17,7;
2022-10-31;13;40,6;21;
2022-11-30;21;236,6;19,8;
2022-12-31;24;197,8;21,4;
2023-01-31;20;256;22,6;
2023-02-28;12;80;23,4;
2023-03-31;11;51,4;22,7;
2023-04-30;17;92,8;20,9;
2023-05-31;15;18,6;18,1;
2023-06-30;15;22,8;16,8;
2023-07-31;16;44;16,7;
2023-08-31;18;77,4;18,5;
2023-09-30;9;62,2;20,5;
2023-10-31;19;101,6;21,8;
2023-11-30;11;46,8;23;
2023-12-31;18;198,2;23,1;
2024-01-31;22;270,6;23,1;
2024-02-29;17;126;23,6;
2024-03-31;17;180;23,3;
2024-04-30;7;16,6;21,4;
2024-05-31;9;35,2;20,6;
2024-06-30;9;1,8;18;
2024-07-31;8;25,6;17,7;
2024-08-31;8;41;17,7;
2024-09-30;4;15,2;20,7;
2024-10-31;null;null;null;

