Nome: MARILANDIA
Codigo Estacao: A632
Latitude: -19.40722222
Longitude: -40.53972221
Altitude: 95
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;15;249,4;26,7;
2020-02-29;14;150,6;26,6;
2020-03-31;22;203,6;24,9;
2020-04-30;11;31,2;24;
2020-05-31;20;66,2;21,6;
2020-06-30;17;33;21,2;
2020-07-31;15;25,2;20,9;
2020-08-31;15;34;21,2;
2020-09-30;6;11,8;24,2;
2020-10-31;14;274;24,9;
2020-11-30;20;138,8;24,5;
2020-12-31;7;166;26,8;
2021-01-31;12;84,8;26,3;
2021-02-28;21;168,2;25,6;
2021-03-31;4;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;5;null;null;
2021-11-30;17;184,4;23,8;
2021-12-31;17;188,8;24,6;
2022-01-31;13;105,8;26,6;
2022-02-28;22;284,6;25,9;
2022-03-31;11;31,8;26,1;
2022-04-30;6;11,4;25,2;
2022-05-31;10;45;22,3;
2022-06-30;12;3,4;20,4;
2022-07-31;13;24,6;20,9;
2022-08-31;6;11,4;21,7;
2022-09-30;6;9;22,5;
2022-10-31;14;64,8;25,3;
2022-11-30;16;147;23,4;
2022-12-31;22;324,4;24,9;
2023-01-31;20;197,4;26;
2023-02-28;4;27,8;27,2;
2023-03-31;10;14,2;26,4;
2023-04-30;13;113,6;24,9;
2023-05-31;14;59,6;22,3;
2023-06-30;3;4,2;21,2;
2023-07-31;7;60,2;21;
2023-08-31;13;85,2;22,5;
2023-09-30;7;58,2;24,1;
2023-10-31;9;null;25,7;
2023-11-30;8;null;27,3;
2023-12-31;11;125,2;27,8;
2024-01-31;18;139,8;27,1;
2024-02-29;15;null;26,7;
2024-03-31;8;70,8;27,8;
2024-04-30;null;null;null;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;1;null;22,7;
2024-09-30;2;9,6;24,7;
2024-10-31;2;null;null;

