Nome: VENDA NOVA DO IMIGRANTE
Codigo Estacao: A633
Latitude: -20.38555555
Longitude: -41.18999999
Altitude: 722
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;19;376,2;22,7;
2020-02-29;18;242,4;22,6;
2020-03-31;23;195,8;20,8;
2020-04-30;15;null;20,4;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;4;27;20,1;
2020-10-31;19;179,6;20,8;
2020-11-30;18;128,8;20,5;
2020-12-31;18;260,8;22,4;
2021-01-31;8;null;22,4;
2021-02-28;22;272,8;21,9;
2021-03-31;19;138,4;21,9;
2021-04-30;20;101,6;19,4;
2021-05-31;24;17,6;18,3;
2021-06-30;13;35;16,9;
2021-07-31;15;6;15,3;
2021-08-31;18;32,6;17,2;
2021-09-30;15;40,2;19,9;
2021-10-31;24;333,6;19,8;
2021-11-30;23;208,8;19,9;
2021-12-31;19;203,2;21,1;
2022-01-31;14;224,2;22,6;
2022-02-28;26;478,4;22,1;
2022-03-31;10;20,2;22,1;
2022-04-30;15;79,4;20,7;
2022-05-31;19;14,6;17,8;
2022-06-30;23;12,4;16;
2022-07-31;16;4;16,8;
2022-08-31;14;18,8;16,8;
2022-09-30;12;50,2;17,8;
2022-10-31;15;70,6;21,3;
2022-11-30;18;163,6;19,5;
2022-12-31;24;317,8;21;
2023-01-31;22;352,6;22,2;
2023-02-28;14;46,6;22,9;
2023-03-31;14;143,2;22,2;
2023-04-30;15;113,8;20,5;
2023-05-31;21;44,6;17,6;
2023-06-30;21;15,2;16,3;
2023-07-31;21;41,2;16,6;
2023-08-31;25;83,8;18,2;
2023-09-30;17;23,6;19,9;
2023-10-31;20;92,2;22;
2023-11-30;9;null;22,7;
2023-12-31;19;212;22,7;
2024-01-31;20;304,2;22,8;
2024-02-29;22;null;22,9;
2024-03-31;15;167,8;23,5;
2024-04-30;14;36,8;21,4;
2024-05-31;20;42,2;20,2;
2024-06-30;18;10,6;17,9;
2024-07-31;10;3,6;17,6;
2024-08-31;15;40,4;17,5;
2024-09-30;5;3,2;20,3;
2024-10-31;5;null;null;

