Nome: VILA VELHA
Codigo Estacao: A634
Latitude: -20.46694443
Longitude: -40.40388888
Altitude: 25
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;1;null;null;
2020-02-29;11;117,6;26,3;
2020-03-31;15;299,6;24,8;
2020-04-30;11;25,8;24;
2020-05-31;9;46,8;22,1;
2020-06-30;10;77,2;21,9;
2020-07-31;13;63,8;21,4;
2020-08-31;10;101,6;21,5;
2020-09-30;4;120,2;23,6;
2020-10-31;18;159,4;23,8;
2020-11-30;15;85;24,1;
2020-12-31;8;143;25,7;
2021-01-31;3;null;26,3;
2021-02-28;15;215,4;25,4;
2021-03-31;11;224;25,4;
2021-04-30;17;93,4;23,6;
2021-05-31;9;94,2;22,6;
2021-06-30;14;85;21,2;
2021-07-31;2;3,6;20,3;
2021-08-31;8;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;3;null;null;
2021-12-31;16;91,4;24,6;
2022-01-31;8;77,4;26,1;
2022-02-28;13;133;25,7;
2022-03-31;4;39;26,3;
2022-04-30;4;12;25,2;
2022-05-31;9;39;22,6;
2022-06-30;5;9,4;21,2;
2022-07-31;9;16,2;21,7;
2022-08-31;9;26;21,7;
2022-09-30;6;22,6;21,8;
2022-10-31;12;96,6;24,2;
2022-11-30;15;306,2;23,2;
2022-12-31;22;274,2;24,4;
2023-01-31;20;168,6;25,7;
2023-02-28;2;12,6;27;
2023-03-31;8;33;26,4;
2023-04-30;20;116,6;24,5;
2023-05-31;20;72,2;22,3;
2023-06-30;4;17,2;21,7;
2023-07-31;12;136,2;21,1;
2023-08-31;11;172,4;22,3;
2023-09-30;9;16,4;23,5;
2023-10-31;14;40,6;24,8;
2023-11-30;5;27,8;26;
2023-12-31;14;88,8;26,5;
2024-01-31;18;230,6;26,4;
2024-02-29;12;127,4;26,3;
2024-03-31;8;59,2;26,8;
2024-04-30;11;73,6;25,2;
2024-05-31;3;26,6;25,1;
2024-06-30;null;null;null;
2024-07-31;3;19,6;22,4;
2024-08-31;7;58,8;22;
2024-09-30;6;26,4;24,1;
2024-10-31;3;null;null;

