Nome: ITATIAIA - AGULHAS NEGRAS
Codigo Estacao: A635
Latitude: -22.37388888
Longitude: -44.70305555
Altitude: 2450
Situacao: Desativada
Data Inicial: 2020-01-01
Data Final: 2022-11-07
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;24;328,4;13,1;
2020-02-29;29;465,2;12,7;
2020-03-31;23;228,4;10,7;
2020-04-30;18;42,4;9,7;
2020-05-31;15;70,8;8;
2020-06-30;18;42;8,5;
2020-07-31;12;16,6;8,2;
2020-08-31;9;42,2;7,4;
2020-09-30;11;83,8;11;
2020-10-31;20;156,8;12;
2020-11-30;24;236,6;10,9;
2020-12-31;30;517,8;12,6;
2021-01-31;23;null;13,2;
2021-02-28;25;362,8;11,8;
2021-03-31;25;183,2;12,1;
2021-04-30;18;28,8;8,7;
2021-05-31;18;54,6;8,5;
2021-06-30;13;24,8;7,3;
2021-07-31;7;42,2;5,6;
2021-08-31;10;33;8,1;
2021-09-30;12;30,6;12,5;
2021-10-31;30;312;11,1;
2021-11-30;20;335;11;
2021-12-31;26;386,4;11,2;
2022-01-31;30;817,4;12,5;
2022-02-28;25;273,8;12,2;
2022-03-31;27;221,6;12,4;
2022-04-30;21;182,6;10,7;
2022-05-31;18;64,8;7,1;
2022-06-30;8;15,6;7,3;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;

