Nome: RIO DE JANEIRO - JACAREPAGUA
Codigo Estacao: A636
Latitude: -22.93999999
Longitude: -43.40277777
Altitude: 20
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;16;107,6;25,7;
2020-02-29;17;302,4;25,3;
2020-03-31;10;221,8;23,9;
2020-04-30;11;35,4;22,5;
2020-05-31;11;null;20,8;
2020-06-30;2;null;null;
2020-07-31;10;68,6;20,7;
2020-08-31;15;114,6;20,4;
2020-09-30;8;119,8;23,4;
2020-10-31;12;125,4;23,6;
2020-11-30;16;161,6;23,1;
2020-12-31;19;218;25,3;
2021-01-31;5;74,2;26,8;
2021-02-28;14;121,6;25,3;
2021-03-31;6;53,8;25,7;
2021-04-30;16;133;22,6;
2021-05-31;10;125,8;21,2;
2021-06-30;12;40,4;20,1;
2021-07-31;11;26,6;18;
2021-08-31;7;55;20,5;
2021-09-30;8;null;22,7;
2021-10-31;17;153,2;22;
2021-11-30;14;108,2;22,2;
2021-12-31;19;241,2;24;
2022-01-31;17;115,4;26;
2022-02-28;14;185,4;25,1;
2022-03-31;5;75,6;26,3;
2022-04-30;10;332,6;23,6;
2022-05-31;16;62;21,2;
2022-06-30;20;86,8;19,3;
2022-07-31;9;49,2;20,7;
2022-08-31;14;135,6;20;
2022-09-30;17;125,2;20,1;
2022-10-31;22;40,8;23,2;
2022-11-30;20;291,8;22,2;
2022-12-31;20;308,2;24,2;
2023-01-31;19;283,2;25,2;
2023-02-28;16;259,6;26,7;
2023-03-31;10;70,2;25,6;
2023-04-30;16;113,6;23,1;
2023-05-31;11;85,6;21,4;
2023-06-30;13;28;20,1;
2023-07-31;12;67,4;20;
2023-08-31;13;153;21,5;
2023-09-30;8;45,8;23,6;
2023-10-31;21;239,4;23,7;
2023-11-30;14;180,6;25,2;
2023-12-31;9;50,8;25,7;
2024-01-31;20;334;25,9;
2024-02-29;13;161,8;26,4;
2024-03-31;16;211,4;25,8;
2024-04-30;1;8,6;24,3;
2024-05-31;10;55,8;23,7;
2024-06-30;8;21,6;21,6;
2024-07-31;10;41,2;20;
2024-08-31;7;69,2;20,4;
2024-09-30;4;9,8;23,6;
2024-10-31;2;null;null;

