Nome: AFONSO CLAUDIO
Codigo Estacao: A657
Latitude: -20.10416666
Longitude: -41.10694444
Altitude: 507.48
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;15;278,2;24,1;
2020-02-29;16;149,6;24,3;
2020-03-31;18;186,2;22,9;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;17;null;23,3;
2021-03-31;12;112;23,7;
2021-04-30;11;48,4;21,8;
2021-05-31;6;1,4;20,4;
2021-06-30;10;21,2;18,9;
2021-07-31;1;,2;18,5;
2021-08-31;3;3;19,9;
2021-09-30;4;null;22,3;
2021-10-31;14;188,4;22;
2021-11-30;17;218,2;21,9;
2021-12-31;17;227,2;22,7;
2022-01-31;11;205,8;24,3;
2022-02-28;14;null;null;
2022-03-31;null;null;null;
2022-04-30;4;null;22,8;
2022-05-31;9;17,8;20;
2022-06-30;3;,6;18,7;
2022-07-31;11;6,6;19,2;
2022-08-31;2;25;19,4;
2022-09-30;4;24;20,4;
2022-10-31;9;63;23,1;
2022-11-30;17;162,4;21,8;
2022-12-31;25;239,6;22,4;
2023-01-31;20;421,8;23,5;
2023-02-28;3;9,6;24,8;
2023-03-31;6;38,4;24,4;
2023-04-30;12;88,2;22,6;
2023-05-31;11;54,4;20,2;
2023-06-30;5;10,6;19;
2023-07-31;7;13,6;19,2;
2023-08-31;8;92,4;20,7;
2023-09-30;7;9,2;22,2;
2023-10-31;14;78,8;23,7;
2023-11-30;4;null;25,4;
2023-12-31;null;null;null;
2024-01-31;null;null;null;
2024-02-29;null;null;null;
2024-03-31;14;145,8;25;
2024-04-30;8;48,2;23,2;
2024-05-31;9;9;22,4;
2024-06-30;11;4,4;20,4;
2024-07-31;3;,6;20,3;
2024-08-31;3;13,6;20,6;
2024-09-30;1;,4;22,8;
2024-10-31;1;null;null;

