Nome: SAQUAREMA - SAMPAIO CORREIA
Codigo Estacao: A667
Latitude: -22.8711111
Longitude: -42.60888888
Altitude: 26
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;18;204,6;26,1;
2020-02-29;13;187,4;25,8;
2020-03-31;15;191;24,2;
2020-04-30;9;40,6;22,9;
2020-05-31;9;121,6;20,8;
2020-06-30;5;null;21,2;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;2;null;27,9;
2021-02-28;12;58,8;25,5;
2021-03-31;7;161;25,8;
2021-04-30;18;95,6;23;
2021-05-31;12;186,2;21,2;
2021-06-30;17;30,6;20,4;
2021-07-31;10;17,6;19,4;
2021-08-31;11;87,2;21,2;
2021-09-30;12;53,4;22,6;
2021-10-31;23;189,4;21,8;
2021-11-30;14;180,6;22,4;
2021-12-31;22;264,6;24,2;
2022-01-31;13;207;26,4;
2022-02-28;16;162,2;25,2;
2022-03-31;5;89,6;26,7;
2022-04-30;14;444;23,9;
2022-05-31;16;79,4;21,5;
2022-06-30;18;97,6;19,5;
2022-07-31;10;35;21,2;
2022-08-31;14;111,4;20,6;
2022-09-30;14;179,2;20,5;
2022-10-31;18;47,6;23,8;
2022-11-30;19;323;22,5;
2022-12-31;17;217,8;24,4;
2023-01-31;17;268,4;25,6;
2023-02-28;12;352;26,8;
2023-03-31;6;13,8;26,2;
2023-04-30;15;197,4;23,5;
2023-05-31;10;66;21,8;
2023-06-30;13;47,2;20,3;
2023-07-31;11;73,6;20,5;
2023-08-31;17;212,6;21,4;
2023-09-30;11;49,2;23,6;
2023-10-31;19;168,8;23,8;
2023-11-30;10;67,2;25,4;
2023-12-31;11;108;26;
2024-01-31;20;277,4;26,1;
2024-02-29;13;54,6;26,7;
2024-03-31;15;210,6;25,9;
2024-04-30;5;10,6;24,6;
2024-05-31;8;53,4;24,1;
2024-06-30;10;15,2;21,9;
2024-07-31;7;27,4;20,3;
2024-08-31;7;108,4;21,2;
2024-09-30;7;11,2;24,1;
2024-10-31;2;null;null;

