Nome: CAMPO GRANDE
Codigo Estacao: A702
Latitude: -20.44722221
Longitude: -54.72249999
Altitude: 528.47
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;18;198,2;26;
2020-02-29;18;227,2;25,2;
2020-03-31;5;80,2;26,5;
2020-04-30;2;90,2;24;
2020-05-31;7;182,6;20,4;
2020-06-30;9;41,2;21,8;
2020-07-31;4;4;21,6;
2020-08-31;3;27,6;24,2;
2020-09-30;1;8,4;27,9;
2020-10-31;9;150,4;27;
2020-11-30;8;91,4;25,9;
2020-12-31;18;105,4;26;
2021-01-31;23;383,6;24,4;
2021-02-28;14;116,2;24,7;
2021-03-31;16;65;24,9;
2021-04-30;8;53,6;24,2;
2021-05-31;5;20,4;22,5;
2021-06-30;6;65,2;21,4;
2021-07-31;2;1,8;21,3;
2021-08-31;2;34,2;23,9;
2021-09-30;4;27;27,5;
2021-10-31;16;179,8;25,3;
2021-11-30;16;251,6;27;
2021-12-31;14;149,2;27,3;
2022-01-31;16;115;26,9;
2022-02-28;13;73,2;27;
2022-03-31;15;211;26,4;
2022-04-30;11;90;25,6;
2022-05-31;7;56,4;21,8;
2022-06-30;5;108;21,2;
2022-07-31;1;null;23,4;
2022-08-31;null;null;null;
2022-09-30;8;174,2;22,8;
2022-10-31;11;110,2;24,2;
2022-11-30;6;87,6;24,1;
2022-12-31;16;178,6;25,6;
2023-01-31;24;328,6;24,1;
2023-02-28;19;242,2;23,8;
2023-03-31;15;196;24,7;
2023-04-30;15;141,4;23,3;
2023-05-31;5;63,2;22,3;
2023-06-30;5;77,6;19,6;
2023-07-31;1;4,6;22,2;
2023-08-31;5;37,8;24,7;
2023-09-30;7;64,2;26,4;
2023-10-31;7;18,6;28,1;
2023-11-30;11;114,6;28;
2023-12-31;14;210,4;27,3;
2024-01-31;14;92,6;26,4;
2024-02-29;16;104,6;26;
2024-03-31;10;13,6;26,9;
2024-04-30;13;138,6;25,6;
2024-05-31;4;21;22,4;
2024-06-30;0;0;24,1;
2024-07-31;4;6,4;21,4;
2024-08-31;4;41,8;23,4;
2024-09-30;4;52,8;27,4;
2024-10-31;null;null;null;

