Nome: PONTA PORA
Codigo Estacao: A703
Latitude: -22.5525
Longitude: -55.71638888
Altitude: 668
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;19;204,8;25,1;
2020-02-29;16;150,4;24,7;
2020-03-31;8;98,4;25,4;
2020-04-30;4;99;21,4;
2020-05-31;8;124,6;18,1;
2020-06-30;11;92,2;19;
2020-07-31;6;14,2;18;
2020-08-31;3;null;20,6;
2020-09-30;4;19,4;23,9;
2020-10-31;12;184,4;24,8;
2020-11-30;10;33,8;24,3;
2020-12-31;null;null;24,8;
2021-01-31;25;111,8;23,7;
2021-02-28;18;31;24,3;
2021-03-31;null;null;24,3;
2021-04-30;null;null;21,8;
2021-05-31;null;null;19,3;
2021-06-30;null;null;17,3;
2021-07-31;null;null;16,5;
2021-08-31;null;null;21,6;
2021-09-30;null;null;24,8;
2021-10-31;null;null;22,4;
2021-11-30;null;null;23,9;
2021-12-31;null;null;26,4;
2022-01-31;null;null;26,1;
2022-02-28;null;null;25,8;
2022-03-31;null;null;23,4;
2022-04-30;null;null;22,3;
2022-05-31;null;null;17,3;
2022-06-30;null;null;17,5;
2022-07-31;null;null;20,2;
2022-08-31;null;null;19,9;
2022-09-30;8;null;18,8;
2022-10-31;4;null;null;
2022-11-30;8;249,2;22,2;
2022-12-31;14;128,8;24,8;
2023-01-31;15;275,6;24;
2023-02-28;23;495,2;22,7;
2023-03-31;17;160;23,9;
2023-04-30;13;107;21,4;
2023-05-31;11;58;19,8;
2023-06-30;8;34,2;17,1;
2023-07-31;5;7,2;18,9;
2023-08-31;7;40;22;
2023-09-30;7;29;24;
2023-10-31;10;98,4;25,1;
2023-11-30;14;57,8;25,7;
2023-12-31;16;133,8;26;
2024-01-31;10;173,4;26,2;
2024-02-29;10;112;25,9;
2024-03-31;12;34,2;26,5;
2024-04-30;14;16,8;24,4;
2024-05-31;7;56,6;19,5;
2024-06-30;2;,4;21,6;
2024-07-31;5;13,8;17;
2024-08-31;0;0;20;
2024-09-30;0;0;23,9;
2024-10-31;1;null;null;

