Nome: BAURU
Codigo Estacao: A705
Latitude: -22.35805555
Longitude: -49.02888888
Altitude: 636.17
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;14;181,4;24,2;
2020-02-29;20;325,8;23;
2020-03-31;4;11,8;23,3;
2020-04-30;4;18,2;21,5;
2020-05-31;4;28,4;18,5;
2020-06-30;6;68,2;20;
2020-07-31;3;8,8;19,7;
2020-08-31;5;60;19,4;
2020-09-30;1;6,2;24,7;
2020-10-31;11;35,4;24,7;
2020-11-30;8;57,4;24;
2020-12-31;19;366,8;23,8;
2021-01-31;18;151,4;24,2;
2021-02-28;14;135,2;23,8;
2021-03-31;10;125;24;
2021-04-30;4;28;21,1;
2021-05-31;1;null;20,2;
2021-06-30;6;null;17,9;
2021-07-31;1;7,2;17,2;
2021-08-31;2;12,4;20,9;
2021-09-30;6;12,8;24,3;
2021-10-31;16;117,4;21,7;
2021-11-30;8;145,2;23,8;
2021-12-31;12;171,4;23,6;
2022-01-31;18;null;23,6;
2022-02-28;3;null;null;
2022-03-31;null;null;null;
2022-04-30;1;null;null;
2022-05-31;6;32,6;18,1;
2022-06-30;6;69,4;18,1;
2022-07-31;1;1;20,2;
2022-08-31;7;27,4;19;
2022-09-30;13;70,2;19,4;
2022-10-31;10;79;22,7;
2022-11-30;11;46,4;21,9;
2022-12-31;18;315,4;23,2;
2023-01-31;19;249,8;23,2;
2023-02-28;20;241,4;23,3;
2023-03-31;15;173;23,9;
2023-04-30;9;55,6;21,3;
2023-05-31;4;49,2;19,4;
2023-06-30;7;66;17,9;
2023-07-31;2;,6;18,9;
2023-08-31;3;17,6;21,1;
2023-09-30;5;13,2;24,7;
2023-10-31;13;94,2;23,9;
2023-11-30;12;86;25,4;
2023-12-31;9;74,4;26,1;
2024-01-31;12;111;24,5;
2024-02-29;11;132,2;25,1;
2024-03-31;16;151,4;24,8;
2024-04-30;10;83,2;24;
2024-05-31;4;18,2;22,2;
2024-06-30;1;,6;21,4;
2024-07-31;5;18,6;19,5;
2024-08-31;4;28;20,9;
2024-09-30;3;10,6;25,7;
2024-10-31;1;null;null;

