Nome: IGUAPE
Codigo Estacao: A712
Latitude: -24.67166666
Longitude: -47.54583333
Altitude: 2.7
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;19;153,8;25,3;
2020-02-29;19;540,4;24,4;
2020-03-31;14;305;23,4;
2020-04-30;10;54,2;21,3;
2020-05-31;5;58,2;18,7;
2020-06-30;14;354,2;19,8;
2020-07-31;9;133,2;18,5;
2020-08-31;19;173,4;17,9;
2020-09-30;15;107,8;20,5;
2020-10-31;17;244,2;22,3;
2020-11-30;15;174;22,1;
2020-12-31;24;256,4;24,5;
2021-01-31;23;433,4;25,8;
2021-02-28;16;302;24,9;
2021-03-31;18;149,6;25,1;
2021-04-30;17;182;22,1;
2021-05-31;15;206,6;19,1;
2021-06-30;7;null;18,6;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;1;null;null;
2022-04-30;22;226,4;22,1;
2022-05-31;13;89;19,1;
2022-06-30;20;174,4;17,4;
2022-07-31;13;41;18,6;
2022-08-31;20;140,6;17,9;
2022-09-30;22;215,6;18,1;
2022-10-31;23;158,6;21,3;
2022-11-30;19;335,2;21,3;
2022-12-31;14;178,6;23,7;
2023-01-31;17;152,8;24,8;
2023-02-28;23;252;25,4;
2023-03-31;15;328;24,9;
2023-04-30;18;225,8;22;
2023-05-31;10;59,6;20,2;
2023-06-30;14;199,6;18,6;
2023-07-31;20;144,4;18,2;
2023-08-31;20;223,8;19,4;
2023-09-30;12;64,8;21,7;
2023-10-31;29;405,6;21,1;
2023-11-30;17;152,8;23,4;
2023-12-31;10;77,4;25,1;
2024-01-31;19;425,6;25,1;
2024-02-29;18;218,2;25,8;
2024-03-31;18;157,4;25,3;
2024-04-30;13;133,8;23,7;
2024-05-31;13;176,4;21,6;
2024-06-30;12;64,2;19,8;
2024-07-31;19;200;16,6;
2024-08-31;11;100;17,3;
2024-09-30;14;135,2;20,3;
2024-10-31;4;null;null;

