Nome: SAO MIGUEL ARCANJO
Codigo Estacao: A715
Latitude: -23.89083333
Longitude: -47.99916666
Altitude: 710
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;22;162,4;22,4;
2020-02-29;26;161,2;21,6;
2020-03-31;22;40,2;20,9;
2020-04-30;18;15,8;19;
2020-05-31;16;18;16,1;
2020-06-30;25;123,6;17,9;
2020-07-31;7;19;16,8;
2020-08-31;12;83,2;16,3;
2020-09-30;23;21;20,3;
2020-10-31;19;74,4;20,7;
2020-11-30;15;70,4;20,4;
2020-12-31;25;265,6;21,9;
2021-01-31;22;161,2;22,7;
2021-02-28;16;63;22,1;
2021-03-31;20;160,2;22,7;
2021-04-30;13;68,2;18,9;
2021-05-31;14;70;16,8;
2021-06-30;9;null;16,2;
2021-07-31;4;4,8;13,9;
2021-08-31;4;1;17,5;
2021-09-30;10;17,6;19,7;
2021-10-31;4;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;1;null;null;
2022-06-30;6;11,6;15,4;
2022-07-31;2;,6;17,1;
2022-08-31;4;7,2;16;
2022-09-30;10;56,8;15,8;
2022-10-31;14;87;19,6;
2022-11-30;6;35,8;18,9;
2022-12-31;18;150,8;21,2;
2023-01-31;17;135,8;22;
2023-02-28;22;145;22,2;
2023-03-31;15;null;22,4;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;null;null;null;
2023-07-31;12;25,2;15,9;
2023-08-31;13;30,8;17,6;
2023-09-30;14;39;20,5;
2023-10-31;20;269,8;19,6;
2023-11-30;14;190,8;21,6;
2023-12-31;9;48,4;22,9;
2024-01-31;14;94;22,5;
2024-02-29;21;180,2;23,2;
2024-03-31;18;80,6;22,7;
2024-04-30;13;63,4;21,6;
2024-05-31;14;69,8;19,6;
2024-06-30;5;null;null;
2024-07-31;null;null;null;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;

