Nome: AQUIDAUANA
Codigo Estacao: A719
Latitude: -20.47555554
Longitude: -55.78388888
Altitude: 151.35
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;3;null;null;
2020-02-29;5;null;null;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;2;null;null;
2020-09-30;null;null;null;
2020-10-31;2;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;6;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;10;171,4;24;
2022-10-31;11;104,2;25,3;
2022-11-30;4;62,4;26;
2022-12-31;9;77,2;28,5;
2023-01-31;19;152,4;26,6;
2023-02-28;20;195,6;25,8;
2023-03-31;17;192,6;26,5;
2023-04-30;14;188,6;25,1;
2023-05-31;9;93,2;23;
2023-06-30;11;70;19,9;
2023-07-31;0;0;22,4;
2023-08-31;4;36,2;25,4;
2023-09-30;4;78,2;27,5;
2023-10-31;7;46,8;29,8;
2023-11-30;7;124,8;30;
2023-12-31;9;241;29,8;
2024-01-31;16;104;28,8;
2024-02-29;12;137,8;28,1;
2024-03-31;11;83,2;29,2;
2024-04-30;13;152,2;27,1;
2024-05-31;4;19;23,2;
2024-06-30;0;0;24,3;
2024-07-31;3;5,6;21,2;
2024-08-31;5;57,4;23,2;
2024-09-30;6;18;27,4;
2024-10-31;null;null;null;

