Nome: DOURADOS
Codigo Estacao: A721
Latitude: -22.19388888
Longitude: -54.91138888
Altitude: 463.3
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;17;217,6;25,9;
2020-02-29;12;99,4;25,7;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;6;null;null;
2022-11-30;6;78,4;23,1;
2022-12-31;14;68,2;25,6;
2023-01-31;15;147;24,8;
2023-02-28;18;298,2;23,8;
2023-03-31;19;175,2;25,1;
2023-04-30;12;122,8;22,8;
2023-05-31;7;37,2;21,1;
2023-06-30;5;31;18,7;
2023-07-31;4;10,2;20,6;
2023-08-31;6;77,2;23;
2023-09-30;8;66,4;25,1;
2023-10-31;10;278,6;26,3;
2023-11-30;17;139,8;26,2;
2023-12-31;12;88,2;26,8;
2024-01-31;9;83,6;26,5;
2024-02-29;10;133,2;27;
2024-03-31;10;56,2;27,1;
2024-04-30;9;65,4;25,4;
2024-05-31;2;51,6;21,1;
2024-06-30;1;,4;22,8;
2024-07-31;7;36,4;19,1;
2024-08-31;6;39,4;21,7;
2024-09-30;3;2,2;25,3;
2024-10-31;1;null;null;

