Nome: MIRANDA
Codigo Estacao: A722
Latitude: -20.39555555
Longitude: -56.43166666
Altitude: 132.49
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;null;null;null;
2020-02-29;null;null;null;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;3;null;null;
2020-09-30;3;null;null;
2020-10-31;1;null;null;
2020-11-30;1;null;null;
2020-12-31;4;null;null;
2021-01-31;11;null;26,2;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;10;153,2;23,7;
2022-10-31;11;109,8;24,9;
2022-11-30;7;74,8;25,3;
2022-12-31;12;142,2;27,9;
2023-01-31;16;197,6;26,6;
2023-02-28;17;254,2;25,6;
2023-03-31;16;132;26,3;
2023-04-30;12;259,8;24,7;
2023-05-31;9;102,8;22,7;
2023-06-30;10;71,2;19,7;
2023-07-31;0;0;21,8;
2023-08-31;6;26;25;
2023-09-30;6;null;27,4;
2023-10-31;4;null;29,4;
2023-11-30;4;null;29,3;
2023-12-31;3;null;29,3;
2024-01-31;9;null;28,6;
2024-02-29;11;null;27,6;
2024-03-31;7;37;28,8;
2024-04-30;11;260;26,9;
2024-05-31;4;15,6;22,5;
2024-06-30;0;0;23,5;
2024-07-31;4;8;20,7;
2024-08-31;5;37,6;22,8;
2024-09-30;4;29,4;27;
2024-10-31;1;null;null;

