Nome: AVARE
Codigo Estacao: A725
Latitude: -23.10166666
Longitude: -48.9411111
Altitude: 776.36
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;null;null;null;
2020-02-29;null;null;null;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;3;null;null;
2022-06-30;9;58;16,7;
2022-07-31;4;14,2;19,2;
2022-08-31;9;86,6;17,3;
2022-09-30;17;202,8;17;
2022-10-31;12;204;20,8;
2022-11-30;7;30,8;19,8;
2022-12-31;16;162,6;22;
2023-01-31;14;179,4;22,2;
2023-02-28;19;354;22,3;
2023-03-31;20;200,6;23;
2023-04-30;11;80,4;20,2;
2023-05-31;4;11,4;18,8;
2023-06-30;7;null;17,3;
2023-07-31;4;34,2;17,4;
2023-08-31;8;22;19,3;
2023-09-30;9;50,4;22,9;
2023-10-31;16;281,4;21,7;
2023-11-30;14;141,2;23,5;
2023-12-31;11;124,8;24,5;
2024-01-31;13;145,6;23,4;
2024-02-29;14;151,2;24,1;
2024-03-31;11;58,4;23,8;
2024-04-30;9;43,6;23,1;
2024-05-31;6;72,8;21,3;
2024-06-30;1;,2;20,3;
2024-07-31;3;78,8;17,9;
2024-08-31;3;49,8;19,5;
2024-09-30;2;25,2;23,6;
2024-10-31;1;null;null;

