Nome: PIRACICABA
Codigo Estacao: A726
Latitude: -22.70305555
Longitude: -47.62333332
Altitude: 566.46
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;15;164,2;24,1;
2020-02-29;18;375,2;23,2;
2020-03-31;8;65,6;23,1;
2020-04-30;2;3;21,2;
2020-05-31;3;11,8;17,9;
2020-06-30;8;48;19,4;
2020-07-31;2;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;8;null;24,2;
2022-04-30;7;26,8;22,6;
2022-05-31;9;46;18,2;
2022-06-30;9;13,8;18;
2022-07-31;1;1;19,7;
2022-08-31;4;26,8;19,2;
2022-09-30;13;75,6;19,4;
2022-10-31;17;110,8;22,5;
2022-11-30;8;71,8;21,8;
2022-12-31;15;185,2;23,2;
2023-01-31;22;369,4;23,2;
2023-02-28;19;186,8;23,6;
2023-03-31;11;82,4;24;
2023-04-30;11;113,2;21,4;
2023-05-31;3;27,6;19,1;
2023-06-30;10;57,2;17,4;
2023-07-31;3;16,6;18,2;
2023-08-31;6;27,8;20,5;
2023-09-30;6;30,4;24,3;
2023-10-31;15;182;23,6;
2023-11-30;13;178;25;
2023-12-31;8;63;25,9;
2024-01-31;14;122;24,8;
2024-02-29;10;121;25;
2024-03-31;16;165;24,6;
2024-04-30;7;41,2;24,2;
2024-05-31;4;37,2;22;
2024-06-30;1;,6;20,1;
2024-07-31;4;29,8;18,6;
2024-08-31;6;34,6;19,8;
2024-09-30;2;2,6;24,7;
2024-10-31;1;null;null;

