Nome: VOTUPORANGA
Codigo Estacao: A729
Latitude: -20.40333333
Longitude: -49.96611111
Altitude: 510.37
Situacao: Desativada
Data Inicial: 2020-01-01
Data Final: 2022-09-29
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;20;273,6;26;
2020-02-29;24;300,4;25,2;
2020-03-31;4;60,2;25,4;
2020-04-30;4;34,2;24;
2020-05-31;3;17,6;20,1;
2020-06-30;2;10;21,8;
2020-07-31;1;,4;21,7;
2020-08-31;1;4,2;22,7;
2020-09-30;2;1,2;27,5;
2020-10-31;10;87;27,5;
2020-11-30;6;117;26,5;
2020-12-31;28;69,6;25,6;
2021-01-31;13;9,8;25,9;
2021-02-28;7;61;25,7;
2021-03-31;null;null;25,6;
2021-04-30;null;null;23,6;
2021-05-31;null;null;22,5;
2021-06-30;null;null;20,2;
2021-07-31;null;null;19,2;
2021-08-31;null;null;23,5;
2021-09-30;null;null;27,1;
2021-10-31;null;null;25,1;
2021-11-30;null;null;25,8;
2021-12-31;null;null;25,6;
2022-01-31;null;null;25,5;
2022-02-28;null;null;25,7;
2022-03-31;null;null;25,9;
2022-04-30;null;null;24,6;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;

