Nome: CHAPADAO DO SUL
Codigo Estacao: A730
Latitude: -18.80222222
Longitude: -52.6025
Altitude: 820.82
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;19;76,2;24,4;
2020-02-29;null;null;23,4;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;2;null;21;
2022-09-30;8;68;23,2;
2022-10-31;10;null;23,5;
2022-11-30;9;null;22;
2022-12-31;17;null;23,3;
2023-01-31;28;401;22,7;
2023-02-28;14;106;22,9;
2023-03-31;11;140,2;23,5;
2023-04-30;17;261,2;22,6;
2023-05-31;2;41,8;21,4;
2023-06-30;6;35,4;19,2;
2023-07-31;1;12,4;21,4;
2023-08-31;4;39,4;23,6;
2023-09-30;11;84,6;25,4;
2023-10-31;11;null;26,5;
2023-11-30;8;null;26,3;
2023-12-31;12;null;25,5;
2024-01-31;15;null;24,5;
2024-02-29;13;null;24,4;
2024-03-31;23;292,4;24,3;
2024-04-30;14;220;24,3;
2024-05-31;4;2,6;22,3;
2024-06-30;0;0;22,9;
2024-07-31;0;0;21,6;
2024-08-31;0;0;22,5;
2024-09-30;3;3,8;27,2;
2024-10-31;2;null;null;

