Nome: SAO GABRIEL DO OESTE
Codigo Estacao: A732
Latitude: -19.42027777
Longitude: -54.55305555
Altitude: 646
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;null;null;24,7;
2020-02-29;24;32,4;24,3;
2020-03-31;6;33,4;24,9;
2020-04-30;null;null;22,9;
2020-05-31;null;null;18,9;
2020-06-30;null;null;21;
2020-07-31;null;null;20,8;
2020-08-31;null;null;22,5;
2020-09-30;null;null;26,7;
2020-10-31;null;null;26,7;
2020-11-30;null;null;25,3;
2020-12-31;null;null;24,5;
2021-01-31;null;null;24,1;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;1;null;null;
2022-09-30;9;163,2;23;
2022-10-31;12;132,8;23,7;
2022-11-30;8;82;23,3;
2022-12-31;15;136;24,3;
2023-01-31;26;303,2;23,2;
2023-02-28;19;288;23,2;
2023-03-31;25;432,8;23,5;
2023-04-30;16;160,8;22,8;
2023-05-31;5;59,4;21,2;
2023-06-30;7;53,8;18,1;
2023-07-31;3;24,8;20,9;
2023-08-31;7;69,6;23,4;
2023-09-30;15;59,6;25,5;
2023-10-31;20;50,4;27,1;
2023-11-30;12;78,4;27;
2023-12-31;12;109;26,2;
2024-01-31;11;84,4;25,3;
2024-02-29;12;null;25;
2024-03-31;null;null;25,2;
2024-04-30;null;null;24,5;
2024-05-31;null;null;21,6;
2024-06-30;null;null;22,5;
2024-07-31;null;null;21;
2024-08-31;1;null;22,2;
2024-09-30;5;19,6;26,3;
2024-10-31;null;null;null;

