Nome: VALPARAISO
Codigo Estacao: A734
Latitude: -21.31916666
Longitude: -50.93027777
Altitude: 381.9
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;14;254,4;26,2;
2020-02-29;16;203;25,3;
2020-03-31;5;87;25,3;
2020-04-30;6;73,6;23;
2020-05-31;5;32,2;19,5;
2020-06-30;8;68;21,3;
2020-07-31;1;,8;21;
2020-08-31;5;9,8;21,8;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;20;null;26,1;
2021-01-31;23;165,8;25,6;
2021-02-28;15;155,2;25,1;
2021-03-31;9;115,4;25,5;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;4;null;20;
2021-07-31;3;2,6;17,7;
2021-08-31;3;11,2;23;
2021-09-30;5;6,2;26,8;
2021-10-31;14;169,2;24,5;
2021-11-30;8;40,2;26,7;
2021-12-31;14;101,8;26,1;
2022-01-31;17;234,2;25,9;
2022-02-28;15;116,6;26,1;
2022-03-31;13;214,6;25,8;
2022-04-30;6;null;null;
2022-05-31;1;null;null;
2022-06-30;2;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;11;119,4;24,5;
2022-11-30;10;88,6;23,9;
2022-12-31;22;185;25,4;
2023-01-31;8;null;25;
2023-02-28;22;182;25,1;
2023-03-31;20;222,4;25,4;
2023-04-30;14;191,6;23,4;
2023-05-31;null;null;21;
2023-06-30;13;127,6;18,8;
2023-07-31;2;1,6;20,8;
2023-08-31;5;39,2;22,9;
2023-09-30;8;28,4;26,7;
2023-10-31;17;234;26,8;
2023-11-30;10;178,4;27,3;
2023-12-31;11;117,8;27,9;
2024-01-31;12;214,4;26,8;
2024-02-29;16;210,4;26,9;
2024-03-31;12;97,2;27;
2024-04-30;14;188,4;25,8;
2024-05-31;5;22,8;22,9;
2024-06-30;0;0;22,4;
2024-07-31;8;42;20,6;
2024-08-31;6;31;21,3;
2024-09-30;2;40,2;26,3;
2024-10-31;null;null;null;

