Nome: ARIRANHA
Codigo Estacao: A736
Latitude: -21.13305554
Longitude: -48.84055555
Altitude: 525.44
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;null;null;null;
2020-02-29;null;null;null;
2020-03-31;4;null;24;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;8;null;24,3;
2022-11-30;8;113,6;23,5;
2022-12-31;21;293;24,2;
2023-01-31;22;262,6;23,9;
2023-02-28;24;188;24,3;
2023-03-31;21;215,6;24,5;
2023-04-30;19;139;22,2;
2023-05-31;15;55,6;19,1;
2023-06-30;20;70,6;17,2;
2023-07-31;5;5,2;19;
2023-08-31;6;16,6;21,3;
2023-09-30;7;32,2;25,1;
2023-10-31;21;179,2;25,7;
2023-11-30;17;135,2;26,1;
2023-12-31;13;74;26,8;
2024-01-31;18;44,2;25,5;
2024-02-29;14;24,2;25,4;
2024-03-31;13;36,2;25,9;
2024-04-30;5;13;24,9;
2024-05-31;6;3,6;21,5;
2024-06-30;3;,6;20,1;
2024-07-31;3;1;20;
2024-08-31;8;3,4;20,4;
2024-09-30;1;,2;25,3;
2024-10-31;null;null;null;

