Nome: ITAPIRA
Codigo Estacao: A739
Latitude: -22.415
Longitude: -46.80527777
Altitude: 634.89
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;18;288,4;24,2;
2020-02-29;22;401,2;23,3;
2020-03-31;16;148,6;22,7;
2020-04-30;16;3,4;20,4;
2020-05-31;9;null;18,3;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;1;null;null;
2022-03-31;14;90,4;24,2;
2022-04-30;13;104;21,6;
2022-05-31;20;53,6;17,1;
2022-06-30;21;21,8;17,2;
2022-07-31;4;null;18,3;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;9;null;22,8;
2022-11-30;9;157,6;21,5;
2022-12-31;21;384,8;22,8;
2023-01-31;23;376;22,9;
2023-02-28;22;224,2;23,4;
2023-03-31;22;296;23,2;
2023-04-30;21;119,4;20,9;
2023-05-31;13;53,4;18,1;
2023-06-30;15;64,6;16,7;
2023-07-31;8;11,8;17,6;
2023-08-31;2;null;null;
2023-09-30;6;95,8;23,9;
2023-10-31;15;285,2;24;
2023-11-30;14;235;24,7;
2023-12-31;12;111,6;25,3;
2024-01-31;21;180,4;24,3;
2024-02-29;20;175,6;24,3;
2024-03-31;12;null;25,5;
2024-04-30;3;null;null;
2024-05-31;11;35,2;20,7;
2024-06-30;5;1;18,7;
2024-07-31;7;8,2;18,2;
2024-08-31;7;47,4;18,9;
2024-09-30;2;null;23,8;
2024-10-31;null;null;null;

