Nome: BARRA BONITA
Codigo Estacao: A741
Latitude: -22.4711111
Longitude: -48.5575
Altitude: 533.68
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;null;null;24,8;
2020-02-29;null;null;23,8;
2020-03-31;null;null;23,9;
2020-04-30;null;null;21,8;
2020-05-31;null;null;19,4;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;8;61,4;18,6;
2022-06-30;8;29,6;18,1;
2022-07-31;1;2;20,1;
2022-08-31;5;18,6;19,3;
2022-09-30;11;73;19,4;
2022-10-31;15;120,4;23,1;
2022-11-30;9;110,2;22,3;
2022-12-31;19;285,2;24;
2023-01-31;18;147,4;24;
2023-02-28;20;209,4;24,1;
2023-03-31;16;140;24,6;
2023-04-30;10;72,2;21,8;
2023-05-31;1;18,2;19,6;
2023-06-30;3;65,6;17,6;
2023-07-31;3;2;18,7;
2023-08-31;2;16,6;21,1;
2023-09-30;5;34,4;25;
2023-10-31;12;173,8;24,3;
2023-11-30;11;82;25,9;
2023-12-31;10;114,8;26,8;
2024-01-31;12;99,2;25,5;
2024-02-29;14;204;25,6;
2024-03-31;13;168,6;25,3;
2024-04-30;6;39,4;24,5;
2024-05-31;5;15,8;22,6;
2024-06-30;0;0;21,1;
2024-07-31;3;26,8;19;
2024-08-31;4;34,4;20,6;
2024-09-30;3;6,2;25,3;
2024-10-31;1;null;null;

