Nome: RIO BRILHANTE
Codigo Estacao: A743
Latitude: -21.77499999
Longitude: -54.52805554
Altitude: 324.31
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;13;89,8;26,5;
2020-02-29;29;53;26;
2020-03-31;12;49,4;26,2;
2020-04-30;4;48;22,2;
2020-05-31;10;37,8;18,8;
2020-06-30;7;3,8;20,4;
2020-07-31;1;,2;19,5;
2020-08-31;18;54,8;21;
2020-09-30;5;22,8;25,1;
2020-10-31;17;33,6;25,9;
2020-11-30;12;16,4;25,2;
2020-12-31;19;47,4;26;
2021-01-31;19;18,6;25,1;
2021-02-28;9;4;24,8;
2021-03-31;9;19,6;25,8;
2021-04-30;2;2,4;23,4;
2021-05-31;4;8,4;21,2;
2021-06-30;12;6;18,4;
2021-07-31;4;3;17;
2021-08-31;5;null;21,4;
2021-09-30;9;28,8;26;
2021-10-31;13;248,4;24,4;
2021-11-30;12;129,4;26;
2021-12-31;7;42,4;26,5;
2022-01-31;null;null;26,5;
2022-02-28;null;null;26,7;
2022-03-31;null;null;25,3;
2022-04-30;null;null;23,3;
2022-05-31;null;null;18,2;
2022-06-30;null;null;18,3;
2022-07-31;null;null;21,3;
2022-08-31;null;null;19,6;
2022-09-30;5;null;21,3;
2022-10-31;16;146,4;23,2;
2022-11-30;6;67,8;23,4;
2022-12-31;14;121,2;25,8;
2023-01-31;9;58,6;24,9;
2023-02-28;1;null;24,4;
2023-03-31;null;null;null;
2023-04-30;12;227,4;22,5;
2023-05-31;9;58,8;20,2;
2023-06-30;9;77,8;17,4;
2023-07-31;3;2;20,5;
2023-08-31;7;39,8;22,9;
2023-09-30;7;96,2;25,4;
2023-10-31;17;276,8;26,9;
2023-11-30;14;106,8;26,8;
2023-12-31;15;95,6;27,3;
2024-01-31;14;151,2;26,4;
2024-02-29;12;146;27;
2024-03-31;9;28,6;27,4;
2024-04-30;9;174,2;25,4;
2024-05-31;7;53;21;
2024-06-30;1;1,2;22,2;
2024-07-31;7;67,2;18,7;
2024-08-31;6;17;20,8;
2024-09-30;7;61,8;24,9;
2024-10-31;null;null;null;

