Nome: BRAGANCA PAULISTA
Codigo Estacao: A744
Latitude: -22.94916666
Longitude: -46.5261111
Altitude: 891
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;18;247;22,5;
2020-02-29;19;367,2;21,6;
2020-03-31;10;113;21,1;
2020-04-30;5;2,2;19,7;
2020-05-31;7;14,2;17,1;
2020-06-30;9;81;18,5;
2020-07-31;5;7,8;18;
2020-08-31;9;42;17,8;
2020-09-30;4;22,2;22,5;
2020-10-31;14;90,8;21,9;
2020-11-30;10;136,8;21,1;
2020-12-31;22;345;22,2;
2021-01-31;19;222,8;23,4;
2021-02-28;16;155,2;22,2;
2021-03-31;18;165,4;22,6;
2021-04-30;7;4;19,4;
2021-05-31;12;40,2;17,9;
2021-06-30;12;22,4;17;
2021-07-31;7;35,4;15,4;
2021-08-31;7;14;18,5;
2021-09-30;8;22,8;22;
2021-10-31;21;193,4;19,2;
2021-11-30;2;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;3;null;null;
2022-03-31;19;197,8;23;
2022-04-30;6;25;20,9;
2022-05-31;10;49,2;17,2;
2022-06-30;7;16,2;17;
2022-07-31;2;10,8;18,6;
2022-08-31;8;39;17,2;
2022-09-30;15;105;17,6;
2022-10-31;15;154,4;21;
2022-11-30;15;130;18,9;
2022-12-31;20;null;21,2;
2023-01-31;20;162,8;21,7;
2023-02-28;23;192,4;22,4;
2023-03-31;17;173,4;22,5;
2023-04-30;12;116;19,8;
2023-05-31;8;30,2;18,1;
2023-06-30;13;61,8;16,7;
2023-07-31;7;6;17,4;
2023-08-31;5;17,6;19,4;
2023-09-30;8;59,8;22,8;
2023-10-31;15;270,8;21,9;
2023-11-30;11;null;23,4;
2023-12-31;8;null;23,9;
2024-01-31;15;118,2;22,9;
2024-02-29;16;null;23,6;
2024-03-31;19;154;23,2;
2024-04-30;5;7;22,6;
2024-05-31;6;86,8;20,9;
2024-06-30;3;,6;19,1;
2024-07-31;10;28,2;17,5;
2024-08-31;7;55,4;18,6;
2024-09-30;3;3;23,4;
2024-10-31;3;null;null;

