Nome: BARRA DO TURVO
Codigo Estacao: A746
Latitude: -24.96277777
Longitude: -48.41638888
Altitude: 659.89
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;null;null;null;
2020-02-29;null;null;null;
2020-03-31;null;null;null;
2020-04-30;null;null;null;
2020-05-31;null;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;21;70,6;18,4;
2022-05-31;18;117,2;14,9;
2022-06-30;26;92,6;14;
2022-07-31;21;39,8;15,1;
2022-08-31;24;170,6;14,2;
2022-09-30;25;229,6;13,9;
2022-10-31;26;160,8;17,9;
2022-11-30;22;350,8;17,1;
2022-12-31;27;197,4;20;
2023-01-31;28;192,4;21,1;
2023-02-28;27;210;21,5;
2023-03-31;25;223,6;21,3;
2023-04-30;25;100,6;18;
2023-05-31;19;29,6;16,7;
2023-06-30;22;46,6;14,6;
2023-07-31;26;77;14,1;
2023-08-31;26;105,8;15,4;
2023-09-30;23;53,8;18,7;
2023-10-31;29;359;17,7;
2023-11-30;23;186,4;20,3;
2023-12-31;18;37;21,8;
2024-01-31;27;320,4;21,5;
2024-02-29;20;232,2;22,2;
2024-03-31;3;null;21,7;
2024-04-30;3;null;20,5;
2024-05-31;16;62,8;17,7;
2024-06-30;18;43,6;16;
2024-07-31;23;106;13,4;
2024-08-31;21;69,2;14,2;
2024-09-30;24;66,2;17,6;
2024-10-31;3;null;null;

