Nome: AMAMBAI
Codigo Estacao: A750
Latitude: -23.0025
Longitude: -55.32944443
Altitude: 433.59
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;13;151,8;25,2;
2020-02-29;15;124,8;25,1;
2020-03-31;7;71;25;
2020-04-30;4;135,6;21;
2020-05-31;9;130,8;17,3;
2020-06-30;10;131,4;18,6;
2020-07-31;6;17;17,3;
2020-08-31;8;180,6;18,6;
2020-09-30;3;7,2;23,2;
2020-10-31;13;127;24,6;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;4;null;null;
2022-11-30;7;221,8;21,5;
2022-12-31;12;72;24,8;
2023-01-31;10;225,6;24,3;
2023-02-28;18;379;23,2;
2023-03-31;7;null;24,2;
2023-04-30;null;null;21,7;
2023-05-31;6;null;19,3;
2023-06-30;7;71;16,5;
2023-07-31;7;36,2;18,5;
2023-08-31;7;46,8;21,4;
2023-09-30;10;57,8;23,7;
2023-10-31;11;102,6;25,4;
2023-11-30;12;88,4;25,5;
2023-12-31;14;137,8;25,9;
2024-01-31;11;126,8;26,1;
2024-02-29;11;104,8;26,2;
2024-03-31;14;95,8;26,4;
2024-04-30;11;108,4;24,3;
2024-05-31;7;38,4;19,8;
2024-06-30;2;,8;21,3;
2024-07-31;5;null;18,6;
2024-08-31;5;42;19,6;
2024-09-30;6;46,6;23,1;
2024-10-31;null;null;null;

