Nome: ITAQUIRAI
Codigo Estacao: A752
Latitude: -23.44944444
Longitude: -54.18194443
Altitude: 337.82
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2020-01-31;15;215,4;26,1;
2020-02-29;11;132,6;25,7;
2020-03-31;3;38,2;25,8;
2020-04-30;2;106,4;22;
2020-05-31;6;118,2;18,8;
2020-06-30;10;122,2;19,9;
2020-07-31;8;19,4;18,6;
2020-08-31;8;184,2;20,1;
2020-09-30;2;4,2;25;
2020-10-31;11;88,2;26,1;
2020-11-30;9;75,8;25,2;
2020-12-31;15;206,8;25,2;
2021-01-31;23;363;24,6;
2021-02-28;10;153,4;24,8;
2021-03-31;12;278;25,4;
2021-04-30;4;6,8;22,8;
2021-05-31;5;57,8;20,4;
2021-06-30;4;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;3;null;null;
2022-11-30;6;76,4;22,9;
2022-12-31;15;157,2;25,5;
2023-01-31;6;null;25,3;
2023-02-28;null;null;23,9;
2023-03-31;null;null;25,4;
2023-04-30;null;null;22,4;
2023-05-31;2;null;20,6;
2023-06-30;8;49;18;
2023-07-31;7;29,6;19,9;
2023-08-31;8;62,8;21,7;
2023-09-30;13;61,2;24,4;
2023-10-31;11;201,8;25,4;
2023-11-30;18;140;25,4;
2023-12-31;13;181,8;26,5;
2024-01-31;9;158,6;26,4;
2024-02-29;11;125,4;26,7;
2024-03-31;6;96,2;27;
2024-04-30;9;78;25,5;
2024-05-31;9;21,6;21,6;
2024-06-30;1;1,2;22,5;
2024-07-31;8;78,2;18,4;
2024-08-31;4;36;21,8;
2024-09-30;7;90,4;24,1;
2024-10-31;null;null;null;

